Plate,Experiment,Group,Filename,Sample,Workspace,Compensation Source,Plot Title,Gate,Autogate Status,X Parameter,Y Parameter,Count,Volume,Concentration,%Total,%Gated,X Mean,Y Mean,X Median,Y Median,X Peak,Y Peak,X SD,Y SD,X %CV,Y %CV,X rSD,Y rSD,X %rCV,Y %rCV
24-08-19 Day0 -- Innoc,Experiment,10^-2 dilution,,A1,Experiment,Experiment,N/A,All Events,N/A,N/A,N/A,12254,26,471.308,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
24-08-19 Day0 -- Innoc,Experiment,10^-2 dilution,,A1,Experiment,Experiment,,cells,N/A,FSC-A,SSC-A,10000,26,384.615,81.606,79.592,25396,3773,18681,1782,21311,110,24369.71,16695.15,95.96,442.50,8341.11,1810.25,44.65,101.59
24-08-19 Day0 -- Innoc,Experiment,10^-2 dilution,,A1,Experiment,Experiment,,veroniiHIST,N/A,YL2-H,N/A,0,26,0.000,0.000,0.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
24-08-19 Day0 -- Innoc,Experiment,10^-2 dilution,,A1,Experiment,Experiment,,cells,N/A,YL2-H,N/A,10000,26,384.615,81.606,83.581,165,N/A,146,N/A,104,N/A,144.66,N/A,87.77,N/A,102.00,N/A,69.77,N/A
24-08-19 Day0 -- Innoc,Experiment,10^-2 dilution,,A1,Experiment,Experiment,,protegHIST,N/A,VL2-H,N/A,959,26,36.885,7.826,9.363,18272,N/A,15307,N/A,17801,N/A,10701.78,N/A,58.57,N/A,4946.16,N/A,32.31,N/A
24-08-19 Day0 -- Innoc,Experiment,10^-2 dilution,,A1,Experiment,Experiment,,cells,N/A,VL2-H,N/A,10000,26,384.615,81.606,83.581,4383,N/A,3016,N/A,17862,N/A,6146.73,N/A,140.24,N/A,2595.06,N/A,86.05,N/A
24-08-19 Day0 -- Innoc,Experiment,10^-2 dilution,,A1,Experiment,Experiment,,veronniiQUADRANT,N/A,YL2-A,VL2-A,4,26,0.154,0.033,0.039,476,905,476,962,423,1066,46.11,264.22,9.68,29.19,52.41,212.96,11.01,22.15
24-08-19 Day0 -- Innoc,Experiment,10^-2 dilution,,A1,Experiment,Experiment,,protegensQUADRANT,N/A,YL2-A,VL2-A,2496,26,96.000,20.369,24.370,142,8648,101,5784,216,15548,284.69,10469.99,199.86,121.07,93.68,3632.88,92.36,62.81
24-08-19 Day0 -- Innoc,Experiment,10^-2 dilution,,A1,Experiment,Experiment,,cells,N/A,YL2-A,VL2-A,10000,26,384.615,81.606,83.581,26,3683,5,2033,39,10312,186.28,8074.71,719.00,219.23,117.11,3847.53,2149.33,189.22
24-08-19 Day0 -- Innoc,Experiment,10^-2 dilution,,A1,Experiment,Experiment,,grimHIST,N/A,BL1-H,N/A,49,26,1.885,0.400,0.478,5515,N/A,4965,N/A,4410,N/A,1759.01,N/A,31.89,N/A,1107.26,N/A,22.30,N/A
24-08-19 Day0 -- Innoc,Experiment,10^-2 dilution,,A1,Experiment,Experiment,,cells,N/A,BL1-H,N/A,10000,26,384.615,81.606,83.581,466,N/A,389,N/A,905,N/A,847.29,N/A,181.92,N/A,519.41,N/A,133.42,N/A
