Plate,Experiment,Group,Filename,Sample,Workspace,Compensation Source,Plot Title,Gate,Autogate Status,X Parameter,Y Parameter,Count,Volume,Concentration,%Total,%Gated,X Mean,Y Mean,X Median,Y Median,X Peak,Y Peak,X SD,Y SD,X %CV,Y %CV,X rSD,Y rSD,X %rCV,Y %rCV
24-08-19 Day4 -- Epoch.plate1,Experiment,10^-2 dilution,,B1,Experiment,Experiment,N/A,All Events,N/A,N/A,N/A,10001,8,1250.125,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
24-08-19 Day4 -- Epoch.plate1,Experiment,10^-2 dilution,,B1,Experiment,Experiment,,cells,N/A,FSC-A,SSC-A,10000,8,1250.000,99.990,97.838,21568,11685,15952,8726,16378,10888,15709.43,9850.37,72.84,84.30,7929.69,6104.61,49.71,69.96
24-08-19 Day4 -- Epoch.plate1,Experiment,10^-2 dilution,,B1,Experiment,Experiment,,veroniiHIST,N/A,YL2-H,N/A,0,8,0.000,0.000,0.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
24-08-19 Day4 -- Epoch.plate1,Experiment,10^-2 dilution,,B1,Experiment,Experiment,,cells,N/A,YL2-H,N/A,10000,8,1250.000,99.990,102.190,178,N/A,160,N/A,132,N/A,121.06,N/A,67.86,N/A,108.11,N/A,67.46,N/A
24-08-19 Day4 -- Epoch.plate1,Experiment,10^-2 dilution,,B1,Experiment,Experiment,,protegHIST,N/A,VL2-H,N/A,315,8,39.375,3.150,3.082,17428,N/A,13595,N/A,10620,N/A,9522.01,N/A,54.64,N/A,4079.75,N/A,30.01,N/A
24-08-19 Day4 -- Epoch.plate1,Experiment,10^-2 dilution,,B1,Experiment,Experiment,,cells,N/A,VL2-H,N/A,10000,8,1250.000,99.990,102.190,2846,N/A,2753,N/A,-95,N/A,4631.37,N/A,162.73,N/A,3506.91,N/A,127.40,N/A
24-08-19 Day4 -- Epoch.plate1,Experiment,10^-2 dilution,,B1,Experiment,Experiment,,veronniiQUADRANT,N/A,YL2-A,VL2-A,10,8,1.250,0.100,0.098,620,462,518,400,520,671,210.60,354.84,33.95,76.89,78.84,365.22,15.21,91.26
24-08-19 Day4 -- Epoch.plate1,Experiment,10^-2 dilution,,B1,Experiment,Experiment,,protegensQUADRANT,N/A,YL2-A,VL2-A,2120,8,265.000,21.198,20.744,139,7070,108,5318,164,2478,124.99,6633.70,89.77,93.82,100.04,2833.32,92.30,53.28
24-08-19 Day4 -- Epoch.plate1,Experiment,10^-2 dilution,,B1,Experiment,Experiment,,cells,N/A,YL2-A,VL2-A,10000,8,1250.000,99.990,102.190,37,1545,17,1017,268,2548,142.51,5982.96,381.91,387.19,129.56,4485.78,763.33,441.04
24-08-19 Day4 -- Epoch.plate1,Experiment,10^-2 dilution,,B1,Experiment,Experiment,,grimHIST,N/A,BL1-H,N/A,134,8,16.750,1.340,1.311,5167,N/A,4422,N/A,4418,N/A,3486.05,N/A,67.46,N/A,526.53,N/A,11.91,N/A
