

Software Version	3.14.03



Experiment File Path:	C:\Users\Public\Documents\Experiments\Hermina\serial_passage\5Aug24\day4--5Aug24.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\rough_growth_curve.prt



Plate Number	Plate 1
Date	08/08/2024
Time	12:24:07
Reader Type:	Epoch 2
Reader Serial Number:	23053024
Reading Type	Reader

Procedure Details

Plate Type	96 WELL PLATE (Use plate lid)
Well Selection	Runtime
Eject plate on completion	
Set Temperature	Setpoint 30°C, Gradient 1 °C
	Preheat before moving to next step
Read	OD 600
	Absorbance Endpoint
	Full Plate
	Wavelengths:  600
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8
Start Kinetic	Runtime 24:00:00 (HH:MM:SS), Interval 0:10:00, 145 Reads
    Shake	Double Orbital: Continuous
	Frequency: 205 cpm (5 mm)
    Read	Absorbance Endpoint
	Full Plate
	Wavelengths:  600
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8
End Kinetic	

OD 600:600

0:09:16	30.1	0.2648	0.2948	0.2903	0.3106	0.2878	0.2932	0.2965	0.3110	0.3085	0.2888	0.2638	0.2657	0.2977	0.2978	0.3164	0.3249	0.3036	0.2683	0.3005	0.2924	0.2882	0.2611	0.2768	0.3011	0.2969	0.3028	0.2870	0.2891	0.2953	0.2560	0.2977	0.2913	0.3044	0.2985	0.2626	0.2931	0.2905	0.3011	0.2806	0.2865	0.2854	0.2819	0.2904	0.2771	0.2892	0.2956	0.2854	0.2994	0.3194	0.2900	0.2897	0.2851	0.2858	0.2808	0.3070	0.2856	0.2981	0.2799	0.2655	0.3000	0.2772	0.2885	0.2894	0.2857	0.2620	0.2723	0.2832	0.3113	0.2969	0.2970	0.2563	0.2872	0.3037	0.3090	0.2823	0.2953	0.2837	0.2623	0.3071	0.2780	0.2824	0.2825	0.2714	0.3148	0.2678	0.3106	0.2958	0.2904	0.3198	0.3307	0.3328	0.3104	0.3197	0.3062	0.2842	0.2726
0:19:16	30.1	0.2648	0.2939	0.2928	0.3111	0.2880	0.2935	0.2960	0.3111	0.3092	0.2873	0.2731	0.2655	0.2974	0.2977	0.3173	0.3295	0.3016	0.2681	0.3013	0.2898	0.2882	0.2613	0.2769	0.3000	0.2992	0.3032	0.2862	0.2876	0.2936	0.2556	0.2960	0.2889	0.2990	0.2972	0.2629	0.2920	0.2907	0.3048	0.2810	0.2856	0.2854	0.2859	0.2899	0.2821	0.2869	0.2959	0.2896	0.2994	0.3212	0.2885	0.2884	0.2869	0.2856	0.2793	0.3035	0.2860	0.2995	0.2789	0.2649	0.2996	0.2781	0.2870	0.2893	0.2867	0.2609	0.2745	0.2833	0.3137	0.2999	0.2962	0.2560	0.2864	0.3015	0.3069	0.2813	0.2959	0.2837	0.2618	0.3077	0.2779	0.2808	0.2829	0.2717	0.3144	0.2682	0.3090	0.2948	0.2889	0.3201	0.3291	0.3352	0.3093	0.3208	0.3051	0.2835	0.2723
0:29:16	30.2	0.2649	0.2943	0.2938	0.3135	0.2884	0.2946	0.2970	0.3124	0.3092	0.2874	0.2617	0.2655	0.2971	0.2990	0.3191	0.3257	0.3046	0.2682	0.3027	0.2927	0.2895	0.2614	0.2768	0.3006	0.2975	0.3024	0.2876	0.2890	0.2947	0.2565	0.2985	0.2908	0.3013	0.2993	0.2631	0.2937	0.2906	0.3076	0.2814	0.2864	0.2865	0.2889	0.2924	0.2861	0.2901	0.2978	0.2957	0.3017	0.3216	0.2906	0.2878	0.2867	0.2853	0.2789	0.3064	0.2876	0.3019	0.2809	0.2651	0.3034	0.2785	0.2860	0.2914	0.2829	0.2609	0.2801	0.2834	0.3165	0.3028	0.2955	0.2558	0.2870	0.3009	0.3075	0.2821	0.2972	0.2836	0.2604	0.3092	0.2767	0.2799	0.2839	0.2715	0.3174	0.2683	0.3099	0.2944	0.2888	0.3219	0.3293	0.3291	0.3092	0.3224	0.3057	0.2842	0.2722
0:39:16	30.2	0.2649	0.2949	0.2960	0.3161	0.2910	0.2979	0.2986	0.3144	0.3122	0.2883	0.2611	0.2655	0.2977	0.3001	0.3216	0.3312	0.3065	0.2680	0.3048	0.2942	0.2917	0.2617	0.2768	0.3018	0.2967	0.3048	0.2908	0.2909	0.2973	0.2567	0.3019	0.2941	0.3041	0.3027	0.2624	0.2970	0.2932	0.3110	0.2835	0.2889	0.2892	0.2938	0.2968	0.2911	0.2928	0.2995	0.3014	0.3047	0.3226	0.2924	0.2876	0.2880	0.2873	0.2801	0.3093	0.2911	0.3046	0.2836	0.2653	0.3071	0.2824	0.2871	0.2936	0.2850	0.2616	0.2876	0.2849	0.3206	0.3108	0.2971	0.2557	0.2907	0.3040	0.3092	0.2818	0.2993	0.2856	0.2609	0.3119	0.2800	0.2835	0.2876	0.2714	0.3182	0.2682	0.3116	0.2949	0.2915	0.3232	0.3304	0.3416	0.3116	0.3252	0.3093	0.2871	0.2719
0:49:15	30.2	0.2649	0.2956	0.2988	0.3195	0.2940	0.3010	0.3028	0.3170	0.3145	0.2913	0.2607	0.2655	0.2985	0.3036	0.3246	0.3397	0.3099	0.2681	0.3086	0.2985	0.2977	0.2616	0.2769	0.3057	0.2973	0.3083	0.2941	0.2932	0.3012	0.2579	0.3044	0.2971	0.3081	0.3068	0.2630	0.3010	0.2960	0.3115	0.2858	0.2918	0.2918	0.3020	0.2998	0.2968	0.2949	0.3025	0.3085	0.3092	0.3263	0.2975	0.2879	0.2906	0.2925	0.2798	0.3133	0.2951	0.3089	0.2879	0.2667	0.3126	0.2857	0.2872	0.2953	0.2881	0.2623	0.2942	0.2889	0.3268	0.3107	0.3003	0.2558	0.2963	0.3077	0.3120	0.2868	0.3019	0.2900	0.2615	0.3168	0.2841	0.2874	0.2919	0.2714	0.3208	0.2684	0.3161	0.2960	0.2942	0.3263	0.3312	0.3401	0.3157	0.3284	0.3129	0.2915	0.2721
0:59:16	30.2	0.2647	0.2968	0.3010	0.3236	0.2966	0.3044	0.3078	0.3211	0.3192	0.2940	0.2614	0.2654	0.3006	0.3061	0.3277	0.3461	0.3123	0.2681	0.3124	0.3010	0.2997	0.2615	0.2768	0.3097	0.2998	0.3123	0.2962	0.2949	0.3064	0.2592	0.3091	0.2996	0.3130	0.3096	0.2626	0.3049	0.2993	0.3227	0.2890	0.2956	0.2953	0.3141	0.3025	0.3063	0.2993	0.3057	0.3190	0.3140	0.3392	0.2999	0.2882	0.2958	0.2955	0.2828	0.3187	0.2962	0.3140	0.2904	0.2680	0.3148	0.2894	0.2870	0.2995	0.2935	0.2634	0.3115	0.2923	0.3326	0.3160	0.3035	0.2558	0.2998	0.3105	0.3154	0.2897	0.3054	0.2935	0.2632	0.3208	0.2870	0.2896	0.2965	0.2714	0.3243	0.2684	0.3183	0.2970	0.2974	0.3296	0.3351	0.3600	0.3184	0.3329	0.3180	0.2965	0.2719
1:09:16	30.2	0.2649	0.3012	0.3030	0.3277	0.2994	0.3068	0.3112	0.3268	0.3270	0.2973	0.2609	0.2655	0.3052	0.3091	0.3312	0.3533	0.3152	0.2682	0.3178	0.3040	0.3025	0.2616	0.2768	0.3134	0.3037	0.3168	0.2973	0.2964	0.3127	0.2605	0.3147	0.3021	0.3205	0.3128	0.2629	0.3088	0.3010	0.3332	0.2896	0.3008	0.2984	0.3261	0.3051	0.3193	0.3004	0.3086	0.3347	0.3224	0.3439	0.2998	0.2866	0.2992	0.2985	0.2820	0.3265	0.2981	0.3203	0.2928	0.2689	0.3173	0.2901	0.2871	0.3018	0.2957	0.2651	0.3246	0.2961	0.3393	0.3234	0.3065	0.2558	0.3033	0.3142	0.3205	0.2895	0.3108	0.2953	0.2647	0.3261	0.2900	0.2942	0.3033	0.2714	0.3281	0.2684	0.3205	0.2982	0.2998	0.3342	0.3405	0.3742	0.3226	0.3394	0.3209	0.2998	0.2719
1:19:16	30.2	0.2648	0.3037	0.3037	0.3331	0.3001	0.3078	0.3121	0.3331	0.3378	0.3003	0.2610	0.2654	0.3097	0.3106	0.3354	0.3665	0.3181	0.2683	0.3254	0.3048	0.3036	0.2624	0.2767	0.3165	0.3107	0.3223	0.2990	0.2989	0.3212	0.2614	0.3204	0.3051	0.3289	0.3161	0.2626	0.3117	0.3023	0.3435	0.2924	0.3081	0.2988	0.3463	0.3061	0.3347	0.3044	0.3135	0.3521	0.3296	0.3544	0.3006	0.2864	0.3077	0.3014	0.2827	0.3363	0.3003	0.3266	0.2960	0.2703	0.3193	0.2911	0.2879	0.3018	0.2960	0.2662	0.3424	0.2977	0.3470	0.3365	0.3086	0.2558	0.3060	0.3137	0.3282	0.2936	0.3186	0.2976	0.2665	0.3325	0.2927	0.2962	0.3115	0.2714	0.3331	0.2682	0.3244	0.2989	0.3015	0.3393	0.3475	0.3908	0.3257	0.3480	0.3241	0.3032	0.2718
1:29:16	30.2	0.2647	0.3098	0.3037	0.3378	0.3021	0.3102	0.3146	0.3434	0.3524	0.3031	0.2609	0.2653	0.3171	0.3107	0.3403	0.3690	0.3201	0.2682	0.3347	0.3064	0.3079	0.2622	0.2766	0.3196	0.3170	0.3277	0.3013	0.3009	0.3336	0.2629	0.3300	0.3068	0.3410	0.3166	0.2624	0.3141	0.3008	0.3521	0.2895	0.3165	0.3013	0.3682	0.3093	0.3519	0.3052	0.3188	0.3815	0.3404	0.3626	0.3029	0.2864	0.3159	0.3018	0.2854	0.3477	0.3030	0.3334	0.2971	0.2720	0.3216	0.2919	0.2880	0.3048	0.2966	0.2677	0.3607	0.2981	0.3531	0.3524	0.3116	0.2557	0.3087	0.3149	0.3375	0.2923	0.3284	0.2985	0.2693	0.3385	0.2948	0.2990	0.3187	0.2715	0.3407	0.2682	0.3234	0.3005	0.3035	0.3466	0.3576	0.4048	0.3265	0.3591	0.3268	0.3061	0.2717
1:39:16	30.2	0.2649	0.3173	0.3044	0.3444	0.3028	0.3120	0.3152	0.3460	0.3666	0.3053	0.2606	0.2653	0.3248	0.3113	0.3445	0.3837	0.3201	0.2682	0.3507	0.3079	0.3092	0.2623	0.2767	0.3221	0.3261	0.3345	0.3023	0.3026	0.3418	0.2654	0.3345	0.3081	0.3493	0.3179	0.2625	0.3153	0.3028	0.3646	0.2935	0.3260	0.3025	0.4091	0.3100	0.3742	0.3055	0.3249	0.4133	0.3464	0.3758	0.3048	0.2877	0.3313	0.3024	0.2862	0.3582	0.3034	0.3403	0.2984	0.2736	0.3231	0.2930	0.2884	0.3036	0.2947	0.2696	0.3882	0.3016	0.3628	0.3673	0.3143	0.2558	0.3123	0.3147	0.3493	0.2944	0.3421	0.2998	0.2740	0.3462	0.2963	0.3008	0.3365	0.2713	0.3476	0.2681	0.3253	0.3033	0.3043	0.3510	0.3675	0.4202	0.3289	0.3719	0.3291	0.3093	0.2717
