Plate,Experiment,Group,Filename,Sample,Workspace,Compensation Source,Plot Title,Gate,Autogate Status,X Parameter,Y Parameter,Count,Volume,Concentration,%Total,%Gated,X Mean,Y Mean,X Median,Y Median,X Peak,Y Peak,X SD,Y SD,X %CV,Y %CV,X rSD,Y rSD,X %rCV,Y %rCV
24-07-08 Day0 -- Innoc,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,Experiment,N/A,All Events,N/A,N/A,N/A,19673,55,357.691,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
24-07-08 Day0 -- Innoc,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,Experiment,,cells,N/A,FSC-A,SSC-A,10000,55,181.818,50.831,50.831,43733,22284,20443,3160,12035,593,87483.39,97617.67,200.04,438.05,12428.64,3878.48,60.80,122.76
24-07-08 Day0 -- Innoc,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,Experiment,,veroniiHIST,N/A,YL2-H,N/A,1,55,0.018,0.005,0.010,22575,N/A,22575,N/A,22575,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
24-07-08 Day0 -- Innoc,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,Experiment,,cells,N/A,YL2-H,N/A,10000,55,181.818,50.831,50.831,182,N/A,150,N/A,179,N/A,409.58,N/A,224.81,N/A,103.33,N/A,69.07,N/A
24-07-08 Day0 -- Innoc,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,Experiment,,protegHIST,N/A,VL2-H,N/A,2596,55,47.200,13.196,25.960,23014,N/A,16989,N/A,15590,N/A,25792.87,N/A,112.07,N/A,6970.84,N/A,41.03,N/A
24-07-08 Day0 -- Innoc,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,Experiment,,cells,N/A,VL2-H,N/A,10000,55,181.818,50.831,50.831,9067,N/A,3846,N/A,8848,N/A,28436.33,N/A,313.63,N/A,4063.49,N/A,105.64,N/A
24-07-08 Day0 -- Innoc,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,Experiment,,veronniiQUADRANT,N/A,YL2-A,VL2-A,5,55,0.091,0.025,0.050,527,580,507,412,447,648,86.36,400.06,16.39,68.93,39.16,281.32,7.72,68.36
24-07-08 Day0 -- Innoc,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,Experiment,,protegensQUADRANT,N/A,YL2-A,VL2-A,3203,55,58.236,16.281,32.030,175,18375,103,10331,62,2631,338.45,35630.48,193.62,193.91,100.72,8960.65,97.33,86.73
24-07-08 Day0 -- Innoc,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,Experiment,,cells,N/A,YL2-A,VL2-A,10000,55,181.818,50.831,50.831,52,9767,10,3742,-199,8719,533.22,32495.69,1017.35,332.70,119.22,5866.79,1201.49,156.78
24-07-08 Day0 -- Innoc,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,Experiment,,grimHIST,N/A,BL1-H,N/A,43,55,0.782,0.219,0.430,8307,N/A,4968,N/A,5387,N/A,8173.11,N/A,98.39,N/A,1307.36,N/A,26.32,N/A
24-07-08 Day0 -- Innoc,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,Experiment,,cells,N/A,BL1-H,N/A,10000,55,181.818,50.831,50.831,435,N/A,343,N/A,139,N/A,987.90,N/A,227.06,N/A,424.75,N/A,123.72,N/A
24-07-08 Day0 -- Innoc,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,Experiment,,putidaHIST,N/A,BL2-H,N/A,5725,55,104.091,29.101,57.250,6874,N/A,5112,N/A,3199,N/A,7120.12,N/A,103.59,N/A,2092.49,N/A,40.93,N/A
24-07-08 Day0 -- Innoc,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,Experiment,,cells,N/A,BL2-H,N/A,10000,55,181.818,50.831,50.831,4068,N/A,3318,N/A,114,N/A,7826.87,N/A,192.39,N/A,4720.73,N/A,142.26,N/A
24-07-08 Day0 -- Innoc,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,Experiment,,putidaQUADRANT,N/A,YL2-A,BL2-A,4722,55,85.855,24.002,47.220,56,9213,10,5866,-96,9771,534.22,15189.65,948.55,164.87,122.78,2507.93,1238.13,42.75
24-07-08 Day0 -- Innoc,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,Experiment,,cells,N/A,YL2-A,BL2-A,10000,55,181.818,50.831,50.831,52,4634,10,3203,-199,1163,533.22,11342.77,1017.35,244.78,119.22,4760.87,1201.49,148.64
24-07-08 Day0 -- Innoc,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,Experiment,,cells,N/A,Time,FSC-A,10000,55,181.818,50.831,50.831,74739,43733,80379,20443,79693,12035,37078.32,87483.39,49.61,200.04,44225.22,12428.64,55.02,60.80
24-07-08 Day0 -- Innoc,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,Experiment,,R1,N/A,YL2-A,BL1-A,70,55,1.273,0.356,0.700,1930,6875,567,4671,2,3575,3893.29,6493.52,201.75,94.46,748.30,1421.41,131.93,30.43
24-07-08 Day0 -- Innoc,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,Experiment,,cells,N/A,YL2-A,BL1-A,10000,55,181.818,50.831,50.831,52,304,10,169,-199,335,533.22,1179.06,1017.35,387.44,119.22,457.66,1201.49,270.72
24-07-08 Day0 -- Innoc,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,Experiment,,R2,N/A,BL1-A,BL2-A,4719,55,85.800,23.987,47.190,409,9205,282,5861,5,15093,1043.95,15190.61,255.05,165.03,714.17,2501.64,253.31,42.69
24-07-08 Day0 -- Innoc,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,Experiment,,cells,N/A,BL1-A,BL2-A,10000,55,181.818,50.831,50.831,304,4634,169,3203,335,1163,1179.06,11342.77,387.44,244.78,457.66,4760.87,270.72,148.64
24-07-08 Day0 -- Innoc,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,Experiment,,cells,N/A,VL2-A,BL2-A,10000,55,181.818,50.831,50.831,9767,4634,3742,3203,8719,1163,32495.69,11342.77,332.70,244.78,5866.79,4760.87,156.78,148.64
24-07-08 Day0 -- Innoc,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,Experiment,,cells,N/A,VL2-A,BL1-A,10000,55,181.818,50.831,50.831,9767,304,3742,169,8719,335,32495.69,1179.06,332.70,387.44,5866.79,457.66,156.78,270.72
24-07-08 Day0 -- Innoc,Experiment,10^-2 dilution,B1.fcs,B1,Experiment,Experiment,N/A,All Events,N/A,N/A,N/A,10687,117,274.026,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
24-07-08 Day0 -- Innoc,Experiment,10^-2 dilution,B1.fcs,B1,Experiment,Experiment,,cells,N/A,FSC-A,SSC-A,10000,117,256.410,93.572,93.572,24171,10203,17323,6685,41308,17684,35228.70,31034.08,145.75,304.17,7693.95,5209.86,44.41,77.93
24-07-08 Day0 -- Innoc,Experiment,10^-2 dilution,B1.fcs,B1,Experiment,Experiment,,veroniiHIST,N/A,YL2-H,N/A,1,117,0.026,0.009,0.010,32766,N/A,32766,N/A,32766,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
24-07-08 Day0 -- Innoc,Experiment,10^-2 dilution,B1.fcs,B1,Experiment,Experiment,,cells,N/A,YL2-H,N/A,10000,117,256.410,93.572,93.572,148,N/A,114,N/A,128,N/A,415.70,N/A,281.15,N/A,96.81,N/A,85.12,N/A
24-07-08 Day0 -- Innoc,Experiment,10^-2 dilution,B1.fcs,B1,Experiment,Experiment,,protegHIST,N/A,VL2-H,N/A,9785,117,250.897,91.560,97.850,95588,N/A,77703,N/A,60115,N/A,67788.57,N/A,70.92,N/A,50725.35,N/A,65.28,N/A
24-07-08 Day0 -- Innoc,Experiment,10^-2 dilution,B1.fcs,B1,Experiment,Experiment,,cells,N/A,VL2-H,N/A,10000,117,256.410,93.572,93.572,95177,N/A,76515,N/A,74588,N/A,75693.73,N/A,79.53,N/A,51550.76,N/A,67.37,N/A
24-07-08 Day0 -- Innoc,Experiment,10^-2 dilution,B1.fcs,B1,Experiment,Experiment,,veronniiQUADRANT,N/A,YL2-A,VL2-A,0,117,0.000,0.000,0.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
24-07-08 Day0 -- Innoc,Experiment,10^-2 dilution,B1.fcs,B1,Experiment,Experiment,,protegensQUADRANT,N/A,YL2-A,VL2-A,4094,117,104.974,38.308,40.940,126,109019,79,85512,125,27355,225.61,94515.83,178.35,86.70,75.22,60722.76,95.25,71.01
24-07-08 Day0 -- Innoc,Experiment,10^-2 dilution,B1.fcs,B1,Experiment,Experiment,,cells,N/A,YL2-A,VL2-A,10000,117,256.410,93.572,93.572,15,105229,-21,84024,-5,72274,481.88,92457.36,3253.09,87.86,109.07,60026.25,515.47,71.44
24-07-08 Day0 -- Innoc,Experiment,10^-2 dilution,B1.fcs,B1,Experiment,Experiment,,grimHIST,N/A,BL1-H,N/A,12,117,0.308,0.112,0.120,6444,N/A,6273,N/A,6292,N/A,2137.22,N/A,33.16,N/A,1747.72,N/A,27.86,N/A
