Plate,Experiment,Group,Filename,Sample,Workspace,Compensation Source,Plot Title,Gate,Autogate Status,X Parameter,Y Parameter,Count,Volume,Concentration,%Total,%Gated,X Mean,Y Mean,X Median,Y Median,X Peak,Y Peak,X SD,Y SD,X %CV,Y %CV,X rSD,Y rSD,X %rCV,Y %rCV
24-07-08 Day2 -- H1.plate1,Experiment,10^-2 dilution,B1.fcs,B1,Experiment,Experiment,N/A,All Events,N/A,N/A,N/A,10045,61,164.672,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
24-07-08 Day2 -- H1.plate1,Experiment,10^-2 dilution,B1.fcs,B1,Experiment,Experiment,,cells,N/A,FSC-A,SSC-A,10000,61,163.934,99.552,99.552,24287,11393,18671,8485,27125,13864,30673.38,31303.55,126.29,274.75,8658.38,4973.38,46.37,58.61
24-07-08 Day2 -- H1.plate1,Experiment,10^-2 dilution,B1.fcs,B1,Experiment,Experiment,,veroniiHIST,N/A,YL2-H,N/A,227,61,3.721,2.260,2.270,164836,N/A,163140,N/A,129561,N/A,39424.55,N/A,23.92,N/A,40646.98,N/A,24.92,N/A
24-07-08 Day2 -- H1.plate1,Experiment,10^-2 dilution,B1.fcs,B1,Experiment,Experiment,,cells,N/A,YL2-H,N/A,10000,61,163.934,99.552,99.552,4053,N/A,230,N/A,22,N/A,25217.02,N/A,622.12,N/A,155.49,N/A,67.63,N/A
24-07-08 Day2 -- H1.plate1,Experiment,10^-2 dilution,B1.fcs,B1,Experiment,Experiment,,protegHIST,N/A,VL2-H,N/A,1046,61,17.148,10.413,10.460,15934,N/A,13865,N/A,10481,N/A,10949.09,N/A,68.71,N/A,3517.20,N/A,25.37,N/A
24-07-08 Day2 -- H1.plate1,Experiment,10^-2 dilution,B1.fcs,B1,Experiment,Experiment,,cells,N/A,VL2-H,N/A,10000,61,163.934,99.552,99.552,4895,N/A,3979,N/A,1941,N/A,6003.95,N/A,122.66,N/A,3096.60,N/A,77.82,N/A
24-07-08 Day2 -- H1.plate1,Experiment,10^-2 dilution,B1.fcs,B1,Experiment,Experiment,,veronniiQUADRANT,N/A,YL2-A,VL2-A,107,61,1.754,1.065,1.070,66465,1670,4919,1411,187611,2933,77933.49,911.14,117.26,54.55,6553.23,848.69,133.23,60.15
24-07-08 Day2 -- H1.plate1,Experiment,10^-2 dilution,B1.fcs,B1,Experiment,Experiment,,protegensQUADRANT,N/A,YL2-A,VL2-A,5089,61,83.426,50.662,50.890,329,7976,210,6240,9,5244,591.17,7399.60,179.89,92.77,187.56,3597.08,89.42,57.64
24-07-08 Day2 -- H1.plate1,Experiment,10^-2 dilution,B1.fcs,B1,Experiment,Experiment,,cells,N/A,YL2-A,VL2-A,10000,61,163.934,99.552,99.552,4281,4813,113,3871,-117,6961,27861.28,6755.40,650.80,140.35,191.79,4001.81,169.47,103.38
24-07-08 Day2 -- H1.plate1,Experiment,10^-2 dilution,B1.fcs,B1,Experiment,Experiment,,grimHIST,N/A,BL1-H,N/A,77,61,1.262,0.767,0.770,4977,N/A,4468,N/A,6217,N/A,1535.39,N/A,30.85,N/A,715.70,N/A,16.02,N/A
