Plate,Experiment,Group,Filename,Sample,Workspace,Compensation Source,Plot Title,Gate,Autogate Status,X Parameter,Y Parameter,Count,Volume,Concentration,%Total,%Gated,X Mean,Y Mean,X Median,Y Median,X Peak,Y Peak,X SD,Y SD,X %CV,Y %CV,X rSD,Y rSD,X %rCV,Y %rCV
24-07-08 Day5 -- Epoch.plate1,Experiment,10^-2 dilution,B1.fcs,B1,Experiment,Experiment,N/A,All Events,N/A,N/A,N/A,10717,15,714.467,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
24-07-08 Day5 -- Epoch.plate1,Experiment,10^-2 dilution,B1.fcs,B1,Experiment,Experiment,,cells,N/A,FSC-A,SSC-A,10000,15,666.667,93.310,93.310,16111,4516,13769,3701,21368,5421,16873.09,12076.58,104.73,267.45,4673.90,2836.96,33.95,76.66
24-07-08 Day5 -- Epoch.plate1,Experiment,10^-2 dilution,B1.fcs,B1,Experiment,Experiment,,veroniiHIST,N/A,YL2-H,N/A,46,15,3.067,0.429,0.460,61732,N/A,54437,N/A,74353,N/A,32558.35,N/A,52.74,N/A,15216.71,N/A,27.95,N/A
24-07-08 Day5 -- Epoch.plate1,Experiment,10^-2 dilution,B1.fcs,B1,Experiment,Experiment,,cells,N/A,YL2-H,N/A,10000,15,666.667,93.310,93.310,436,N/A,139,N/A,57299,N/A,4706.00,N/A,1079.98,N/A,96.64,N/A,69.53,N/A
24-07-08 Day5 -- Epoch.plate1,Experiment,10^-2 dilution,B1.fcs,B1,Experiment,Experiment,,protegHIST,N/A,VL2-H,N/A,18,15,1.200,0.168,0.180,39148,N/A,11493,N/A,20448,N/A,115555.42,N/A,295.17,N/A,1000.24,N/A,8.70,N/A
24-07-08 Day5 -- Epoch.plate1,Experiment,10^-2 dilution,B1.fcs,B1,Experiment,Experiment,,cells,N/A,VL2-H,N/A,10000,15,666.667,93.310,93.310,3005,N/A,3044,N/A,5857,N/A,5574.28,N/A,185.51,N/A,2179.57,N/A,71.61,N/A
24-07-08 Day5 -- Epoch.plate1,Experiment,10^-2 dilution,B1.fcs,B1,Experiment,Experiment,,veronniiQUADRANT,N/A,YL2-A,VL2-A,16,15,1.067,0.149,0.160,57503,1523,52205,1381,91440,762,50101.18,781.17,87.13,51.31,30554.38,994.02,58.53,71.97
24-07-08 Day5 -- Epoch.plate1,Experiment,10^-2 dilution,B1.fcs,B1,Experiment,Experiment,,protegensQUADRANT,N/A,YL2-A,VL2-A,1918,15,127.867,17.897,19.180,151,5531,82,4689,193,3758,1362.49,3299.59,904.59,59.66,76.55,2000.48,93.73,42.66
24-07-08 Day5 -- Epoch.plate1,Experiment,10^-2 dilution,B1.fcs,B1,Experiment,Experiment,,cells,N/A,YL2-A,VL2-A,10000,15,666.667,93.310,93.310,301,2012,-3,1639,227,4477,4951.04,10252.48,1645.29,509.51,105.88,3292.31,3662.71,200.83
24-07-08 Day5 -- Epoch.plate1,Experiment,10^-2 dilution,B1.fcs,B1,Experiment,Experiment,,grimHIST,N/A,BL1-H,N/A,15,15,1.000,0.140,0.150,6114,N/A,4386,N/A,4560,N/A,5372.33,N/A,87.86,N/A,723.05,N/A,16.49,N/A
24-07-08 Day5 -- Epoch.plate1,Experiment,10^-2 dilution,B1.fcs,B1,Experiment,Experiment,,cells,N/A,BL1-H,N/A,10000,15,666.667,93.310,93.310,443,N/A,406,N/A,236,N/A,691.30,N/A,156.17,N/A,366.42,N/A,90.33,N/A
24-07-08 Day5 -- Epoch.plate1,Experiment,10^-2 dilution,B1.fcs,B1,Experiment,Experiment,,putidaHIST,N/A,BL2-H,N/A,3460,15,230.667,32.285,34.600,9927,N/A,9086,N/A,8489,N/A,6389.52,N/A,64.37,N/A,2417.40,N/A,26.61,N/A
24-07-08 Day5 -- Epoch.plate1,Experiment,10^-2 dilution,B1.fcs,B1,Experiment,Experiment,,cells,N/A,BL2-H,N/A,10000,15,666.667,93.310,93.310,3546,N/A,238,N/A,12116,N/A,5973.13,N/A,168.47,N/A,236.85,N/A,99.50,N/A
24-07-08 Day5 -- Epoch.plate1,Experiment,10^-2 dilution,B1.fcs,B1,Experiment,Experiment,,putidaQUADRANT,N/A,YL2-A,BL2-A,3412,15,227.467,31.837,34.120,12,9224,-6,8552,5,12270,392.10,3596.78,3188.37,39.00,105.89,2233.13,1892.21,26.11
24-07-08 Day5 -- Epoch.plate1,Experiment,10^-2 dilution,B1.fcs,B1,Experiment,Experiment,,cells,N/A,YL2-A,BL2-A,10000,15,666.667,93.310,93.310,301,3342,-3,225,227,8350,4951.04,5962.02,1645.29,178.41,105.88,324.92,3662.71,144.17
24-07-08 Day5 -- Epoch.plate1,Experiment,10^-2 dilution,B1.fcs,B1,Experiment,Experiment,,cells,N/A,Time,FSC-A,10000,15,666.667,93.310,93.310,19621,16111,20178,13769,20182,21368,10557.46,16873.09,53.81,104.73,13738.51,4673.90,68.09,33.95
24-07-08 Day5 -- Epoch.plate1,Experiment,10^-2 dilution,B1.fcs,B1,Experiment,Experiment,,R1,N/A,YL2-A,BL1-A,4,15,0.267,0.037,0.040,72,3822,68,3764,80,3593,74.59,271.99,103.14,7.12,69.72,237.09,102.60,6.30
24-07-08 Day5 -- Epoch.plate1,Experiment,10^-2 dilution,B1.fcs,B1,Experiment,Experiment,,cells,N/A,YL2-A,BL1-A,10000,15,666.667,93.310,93.310,301,232,-3,182,227,271,4951.04,684.71,1645.29,294.93,105.88,392.45,3662.71,215.35
24-07-08 Day5 -- Epoch.plate1,Experiment,10^-2 dilution,B1.fcs,B1,Experiment,Experiment,,R2,N/A,BL1-A,BL2-A,3430,15,228.667,32.005,34.300,309,9457,250,8567,397,8063,786.09,6791.84,254.62,71.82,719.64,2242.22,288.19,26.17
24-07-08 Day5 -- Epoch.plate1,Experiment,10^-2 dilution,B1.fcs,B1,Experiment,Experiment,,cells,N/A,BL1-A,BL2-A,10000,15,666.667,93.310,93.310,232,3342,182,225,271,8350,684.71,5962.02,294.93,178.41,392.45,324.92,215.35,144.17
