

Software Version	3.14.03



Experiment File Path:	C:\Users\Public\Documents\Experiments\Hermina\serial_passage\8July24\day5--8July24.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\rough_growth_curve.prt



Plate Number	Plate 1
Date	12/07/2024
Time	10:35:10
Reader Type:	Epoch 2
Reader Serial Number:	23053024
Reading Type	Reader

Procedure Details

Plate Type	96 WELL PLATE (Use plate lid)
Well Selection	Runtime
Eject plate on completion	
Set Temperature	Setpoint 30°C, Gradient 1 °C
	Preheat before moving to next step
Read	OD 600
	Absorbance Endpoint
	Full Plate
	Wavelengths:  600
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8
Start Kinetic	Runtime 24:00:00 (HH:MM:SS), Interval 0:10:00, 145 Reads
    Shake	Double Orbital: Continuous
	Frequency: 205 cpm (5 mm)
    Read	Absorbance Endpoint
	Full Plate
	Wavelengths:  600
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8
End Kinetic	

OD 600:600

0:09:16	30.1	0.2543	0.2772	0.2822	0.2676	0.2726	0.2889	0.2710	0.2700	0.2898	0.2776	0.2766	0.2488	0.2689	0.2770	0.2785	0.2792	0.2687	0.2685	0.2714	0.2832	0.2884	0.2736	0.2653	0.2805	0.2715	0.2696	0.2731	0.2804	0.2699	0.2698	0.2620	0.2636	0.2705	0.2797	0.2623	0.2819	0.3000	0.2677	0.2826	0.2799	0.2858	0.2595	0.2708	0.2828	0.2801	0.2915	0.2722	0.2787	0.2767	0.2637	0.2944	0.2737	0.2857	0.2680	0.2865	0.2699	0.2905	0.2697	0.2554	0.2864	0.7977	0.2692	0.2807	0.2809	0.2720	0.2674	0.2758	0.2641	0.2690	0.2799	0.2556	0.2921	0.2787	0.2924	0.2793	0.2867	0.2896	0.2814	0.2974	0.2786	0.2779	0.2714	0.2589	0.3119	0.3389	0.3188	0.3112	0.3229	0.7868	0.3265	0.3178	0.2881	0.3119	0.3107	0.3036	0.2697
0:19:16	30.1	0.2546	0.2749	0.2801	0.2666	0.2722	0.2884	0.2698	0.2690	0.2919	0.2741	0.2761	0.2492	0.2687	0.2756	0.2795	0.2755	0.2666	0.2685	0.2723	0.2814	0.2860	0.2729	0.2652	0.2782	0.2707	0.2702	0.2712	0.2810	0.2697	0.2707	0.2630	0.2616	0.2714	0.2785	0.2624	0.2802	0.2982	0.2663	0.2819	0.2813	0.2844	0.2597	0.2695	0.2791	0.2820	0.2921	0.2724	0.2765	0.2757	0.2636	0.2958	0.2724	0.2834	0.2661	0.2874	0.2692	0.2909	0.2704	0.2556	0.2829	0.7796	0.2679	0.2802	0.2819	0.2686	0.2680	0.2739	0.2632	0.2690	0.2782	0.2557	0.2893	0.2773	0.2910	0.2786	0.2880	0.2887	0.2790	0.2955	0.2751	0.2762	0.2716	0.2587	0.3137	0.3392	0.3163	0.3125	0.3219	0.7646	0.3275	0.3200	0.2879	0.3120	0.3078	0.3003	0.2696
0:29:16	30.1	0.2545	0.2753	0.2815	0.2677	0.2707	0.2878	0.2690	0.2683	0.2933	0.2749	0.2706	0.2486	0.2691	0.2756	0.2805	0.2754	0.2660	0.2683	0.2734	0.2817	0.2848	0.2725	0.2653	0.2773	0.2700	0.2707	0.2704	0.2820	0.2699	0.2702	0.2638	0.2616	0.2726	0.2785	0.2625	0.2782	0.2970	0.2650	0.2814	0.2776	0.2835	0.2597	0.2693	0.2789	0.2809	0.2928	0.2724	0.2782	0.2757	0.2632	0.2970	0.2719	0.2816	0.2654	0.2877	0.2694	0.2916	0.2682	0.2554	0.2816	0.7642	0.2690	0.2795	0.2828	0.2689	0.2678	0.2727	0.2629	0.2688	0.2770	0.2554	0.2878	0.2750	0.2907	0.2782	0.2884	0.2870	0.2782	0.2947	0.2754	0.2746	0.2720	0.2586	0.3136	0.3399	0.3159	0.3133	0.3208	0.7550	0.3284	0.3215	0.2877	0.3123	0.3068	0.2979	0.2694
0:39:16	30.1	0.2543	0.2760	0.2836	0.2679	0.2745	0.2895	0.2711	0.2698	0.2967	0.2768	0.2640	0.2477	0.2689	0.2750	0.2814	0.2774	0.2679	0.2681	0.2748	0.2829	0.2864	0.2734	0.2646	0.2790	0.2708	0.2722	0.2712	0.2836	0.2708	0.2703	0.2652	0.2625	0.2746	0.2814	0.2622	0.2802	0.2988	0.2668	0.2825	0.2782	0.2863	0.2595	0.2704	0.2806	0.2815	0.2942	0.2723	0.2781	0.2758	0.2637	0.2971	0.2723	0.2826	0.2674	0.2889	0.2713	0.2926	0.2685	0.2552	0.2821	0.7518	0.2696	0.2810	0.2847	0.2701	0.2679	0.2725	0.2633	0.2687	0.2791	0.2551	0.2898	0.2766	0.2917	0.2791	0.2902	0.2870	0.2774	0.2947	0.2766	0.2763	0.2736	0.2585	0.3151	0.3409	0.3178	0.3147	0.3205	0.7452	0.3303	0.3238	0.2875	0.3141	0.3069	0.2989	0.2692
0:49:16	30.1	0.2544	0.2793	0.2855	0.2685	0.2752	0.2914	0.2736	0.2731	0.2973	0.2796	0.2594	0.2469	0.2695	0.2758	0.2851	0.2802	0.2690	0.2681	0.2768	0.2853	0.2883	0.2753	0.2651	0.2819	0.2717	0.2747	0.2741	0.2853	0.2721	0.2713	0.2671	0.2651	0.2773	0.2834	0.2623	0.2824	0.3009	0.2684	0.2840	0.2840	0.2886	0.2599	0.2720	0.2833	0.2842	0.2967	0.2724	0.2795	0.2763	0.2637	0.2995	0.2729	0.2837	0.2694	0.2904	0.2735	0.2949	0.2707	0.2553	0.2844	0.7402	0.2711	0.2829	0.2870	0.2715	0.2681	0.2735	0.2647	0.2691	0.2803	0.2552	0.2904	0.2781	0.2934	0.2795	0.2924	0.2882	0.2803	0.2961	0.2795	0.2773	0.2766	0.2587	0.3185	0.3428	0.3185	0.3151	0.3220	0.7356	0.3323	0.3261	0.2875	0.3161	0.3082	0.3008	0.2692
0:59:16	30.2	0.2543	0.2794	0.2869	0.2705	0.2762	0.2930	0.2751	0.2747	0.2996	0.2819	0.2714	0.2496	0.2707	0.2769	0.2872	0.2812	0.2706	0.2679	0.2798	0.2871	0.2896	0.2770	0.2648	0.2855	0.2730	0.2779	0.2755	0.2886	0.2741	0.2727	0.2690	0.2671	0.2801	0.2866	0.2620	0.2859	0.3030	0.2696	0.2837	0.2822	0.2892	0.2597	0.2731	0.2862	0.2857	0.2982	0.2721	0.2816	0.2765	0.2634	0.3030	0.2739	0.2841	0.2711	0.2931	0.2761	0.2971	0.2721	0.2553	0.2865	0.7315	0.2732	0.2851	0.2900	0.2711	0.2679	0.2754	0.2659	0.2690	0.2822	0.2549	0.2919	0.2789	0.2962	0.2813	0.2953	0.2893	0.2824	0.2975	0.2815	0.2788	0.2797	0.2584	0.3215	0.3440	0.3200	0.3161	0.3225	0.7477	0.3352	0.3264	0.2874	0.3190	0.3088	0.3032	0.2690
1:09:16	30.2	0.2543	0.2822	0.2892	0.2734	0.2777	0.2959	0.2780	0.2769	0.3040	0.2854	0.2729	0.2502	0.2727	0.2799	0.2914	0.2833	0.2729	0.2680	0.2836	0.2894	0.2923	0.2781	0.2646	0.2900	0.2739	0.2811	0.2773	0.2901	0.2778	0.2733	0.2735	0.2699	0.2857	0.2896	0.2621	0.2886	0.3046	0.2704	0.2865	0.2923	0.2933	0.2597	0.2752	0.2891	0.2885	0.3018	0.2722	0.2848	0.2765	0.2641	0.3058	0.2763	0.2842	0.2737	0.2972	0.2790	0.2990	0.2767	0.2553	0.2914	0.7222	0.2760	0.2869	0.2939	0.2693	0.2683	0.2775	0.2670	0.2695	0.2856	0.2549	0.2939	0.2793	0.2999	0.2841	0.2997	0.2911	0.2853	0.2991	0.2843	0.2805	0.2851	0.2585	0.3262	0.3467	0.3218	0.3180	0.3242	0.7398	0.3392	0.3298	0.2874	0.3233	0.3100	0.3062	0.2691
1:19:16	30.2	0.2541	0.2818	0.2910	0.2776	0.2813	0.2982	0.2799	0.2795	0.3093	0.2883	0.2717	0.2484	0.2757	0.2786	0.2947	0.2847	0.2752	0.2679	0.2894	0.2911	0.2940	0.2794	0.2642	0.2947	0.2748	0.2846	0.2783	0.2938	0.2820	0.2733	0.2787	0.2717	0.2921	0.2928	0.2621	0.2920	0.3059	0.2716	0.2882	0.2984	0.2948	0.2598	0.2765	0.2919	0.2905	0.3060	0.2723	0.2892	0.2769	0.2668	0.3112	0.2760	0.2854	0.2762	0.3026	0.2818	0.3017	0.2772	0.2555	0.2919	0.7122	0.2794	0.2882	0.2985	0.2703	0.2682	0.2791	0.2681	0.2696	0.2882	0.2548	0.2968	0.2810	0.3046	0.2846	0.3047	0.2923	0.2863	0.3023	0.2869	0.2822	0.2914	0.2585	0.3307	0.3515	0.3220	0.3189	0.3266	0.7329	0.3444	0.3314	0.2874	0.3288	0.3111	0.3087	0.2690
1:29:16	30.2	0.2541	0.2833	0.2919	0.2826	0.2825	0.3000	0.2819	0.2819	0.3173	0.2906	0.2721	0.2469	0.2791	0.2799	0.2996	0.2862	0.2764	0.2679	0.2963	0.2931	0.2963	0.2802	0.2648	0.2992	0.2748	0.2891	0.2795	0.2967	0.2879	0.2717	0.2860	0.2739	0.3006	0.2955	0.2621	0.2951	0.3070	0.2720	0.2895	0.3035	0.2955	0.2598	0.2778	0.2941	0.2919	0.3100	0.2723	0.2954	0.2771	0.2665	0.3174	0.2776	0.2867	0.2779	0.3100	0.2839	0.3039	0.2793	0.2553	0.2947	0.7059	0.2838	0.2894	0.3046	0.2706	0.2683	0.2807	0.2699	0.2695	0.2901	0.2548	0.2979	0.2816	0.3106	0.2847	0.3115	0.2927	0.2891	0.3058	0.2884	0.2837	0.2990	0.2583	0.3366	0.3575	0.3230	0.3202	0.3254	0.7312	0.3507	0.3331	0.2872	0.3351	0.3120	0.3110	0.2688
1:39:16	30.2	0.2541	0.2848	0.2933	0.2880	0.2845	0.3007	0.2842	0.2837	0.3300	0.2933	0.2740	0.2503	0.2837	0.2801	0.3055	0.2880	0.2778	0.2679	0.3062	0.2948	0.2983	0.2828	0.2647	0.3046	0.2749	0.2933	0.2804	0.2999	0.2958	0.2727	0.2976	0.2754	0.3147	0.2997	0.2622	0.2980	0.3080	0.2737	0.2894	0.3139	0.2975	0.2599	0.2801	0.2969	0.2936	0.3149	0.2724	0.3046	0.2774	0.2656	0.3245	0.2784	0.2887	0.2800	0.3204	0.2864	0.3069	0.2811	0.2554	0.2971	0.6972	0.2896	0.2869	0.3121	0.2710	0.2680	0.2803	0.2710	0.2700	0.2915	0.2547	0.2997	0.2825	0.3176	0.2848	0.3203	0.2940	0.2911	0.3129	0.2899	0.2852	0.3139	0.2584	0.3467	0.3655	0.3241	0.3220	0.3271	0.7514	0.3600	0.3402	0.2873	0.3499	0.3137	0.3144	0.2689
