

Software Version	3.14.03



Experiment File Path:	C:\Users\Public\Documents\Experiments\Hermina\serial_passage\8July24\day5--8July24.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\simple_growth_curve.prt



Plate Number	Plate 1
Date	12/07/2024
Time	09:53:56
Reader Type:	Synergy H1
Reader Serial Number:	2305190C
Reading Type	Reader

Procedure Details

Plate Type	96 WELL PLATE (Use plate lid)
Well Selection	Runtime
Eject plate on completion	
Set Temperature	Setpoint 30°C
	Preheat before moving to next step
Start Kinetic	Runtime 24:00:00 (HH:MM:SS), Interval 0:10:00, 145 Reads
    Shake	Double Orbital: Continuous
	Frequency: 205 cpm (5 mm)
    Read	OD 600
	Absorbance Endpoint
	Full Plate
	Wavelengths:  600
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8
End Kinetic	

OD 600:600

0:09:10	30.0	0.3052	0.3469	0.3533	0.3470	0.3478	0.3495	0.3297	0.3131	0.3278	0.3316	0.2905	0.2939	0.3092	0.3392	0.3035	0.3170	0.3425	0.2937	0.3162	0.2952	0.3144	0.3177	0.3043	0.3249	0.3101	0.2834	0.3046	0.2953	0.2928	0.2973	0.3259	0.2878	0.3032	0.3347	0.2988	0.3314	0.3142	0.2946	0.3085	0.2781	0.3105	0.3019	0.3123	0.3075	0.3074	0.2766	0.3031	0.3282	0.3073	0.3282	0.3069	0.3293	0.3291	0.2984	0.2881	0.3176	0.2997	0.2999	0.3146	0.3092	0.2975	0.3127	0.3280	0.3093	0.3226	0.3031	0.3023	0.3230	0.2951	0.3301	0.2932	0.3215	0.3513	0.3289	0.3562	0.3127	0.3463	0.2928	0.2967	0.3210	0.3343	0.3091	0.3203	0.3040	0.3185	0.3815	0.3579	0.3779	0.3545	0.3686	0.3479	0.3470	0.4027	0.3843	0.3913	0.3134
0:19:10	30.0	0.3045	0.3453	0.3471	0.3471	0.3443	0.3509	0.3290	0.3130	0.3290	0.3304	0.2903	0.2939	0.3090	0.3374	0.3040	0.3156	0.3405	0.2937	0.3127	0.2951	0.3137	0.3160	0.3043	0.3232	0.3050	0.2834	0.2994	0.2956	0.2929	0.2978	0.3273	0.2879	0.3051	0.3334	0.2990	0.3308	0.3119	0.2945	0.3057	0.2787	0.3072	0.3020	0.3084	0.3078	0.3067	0.2764	0.3024	0.3275	0.3074	0.3262	0.3067	0.3302	0.3245	0.2981	0.2881	0.3151	0.2992	0.2988	0.3123	0.3093	0.2975	0.3127	0.3245	0.3083	0.3223	0.3028	0.3016	0.3209	0.2955	0.3251	0.2932	0.3204	0.3452	0.3287	0.3511	0.3128	0.3422	0.2928	0.2969	0.3160	0.3305	0.3090	0.3202	0.3038	0.3190	0.3749	0.3579	0.3771	0.3543	0.3632	0.3476	0.3436	0.4041	0.3844	0.3912	0.3135
0:29:10	30.0	0.3040	0.3456	0.3491	0.3488	0.3410	0.3476	0.3280	0.3129	0.3304	0.3293	0.2903	0.2938	0.3097	0.3371	0.3037	0.3146	0.3411	0.2935	0.3126	0.2945	0.3142	0.3149	0.3042	0.3215	0.3097	0.2834	0.2990	0.2958	0.2927	0.2979	0.3330	0.2878	0.3047	0.3328	0.2990	0.3307	0.3105	0.2943	0.3037	0.2790	0.3051	0.3018	0.3077	0.3078	0.3072	0.2759	0.3019	0.3282	0.3073	0.3246	0.3069	0.3301	0.3229	0.2984	0.2881	0.3153	0.2990	0.2971	0.3117	0.3074	0.2977	0.3131	0.3246	0.3080	0.3209	0.3026	0.3011	0.3206	0.2960	0.3249	0.2932	0.3204	0.3481	0.3355	0.3520	0.3131	0.3422	0.2929	0.2968	0.3144	0.3285	0.3090	0.3200	0.3035	0.3192	0.3750	0.3576	0.3740	0.3543	0.3671	0.3471	0.3425	0.4021	0.3813	0.3887	0.3133
0:39:10	30.0	0.3038	0.3489	0.3508	0.3508	0.3403	0.3462	0.3272	0.3130	0.3325	0.3281	0.2902	0.2939	0.3108	0.3382	0.3034	0.3156	0.3397	0.2935	0.3160	0.2943	0.3153	0.3133	0.3041	0.3213	0.3106	0.2834	0.2955	0.2958	0.2924	0.2979	0.3340	0.2876	0.3120	0.3339	0.2990	0.3331	0.3098	0.2942	0.3031	0.2790	0.3047	0.3017	0.3084	0.3078	0.3087	0.2762	0.3013	0.3295	0.3073	0.3232	0.3070	0.3264	0.3222	0.2986	0.2881	0.3134	0.2987	0.2972	0.3108	0.3082	0.2978	0.3129	0.3216	0.3076	0.3206	0.3023	0.3007	0.3192	0.2963	0.3249	0.2933	0.3209	0.3501	0.3413	0.3503	0.3134	0.3402	0.2931	0.2968	0.3140	0.3285	0.3089	0.3200	0.3035	0.3194	0.3758	0.3574	0.3731	0.3537	0.3688	0.3466	0.3420	0.4038	0.3811	0.3886	0.3140
0:49:10	30.0	0.3035	0.3507	0.3515	0.3538	0.3403	0.3458	0.3266	0.3129	0.3348	0.3273	0.2901	0.2939	0.3128	0.3385	0.3031	0.3152	0.3393	0.2933	0.3202	0.2941	0.3159	0.3133	0.3041	0.3215	0.3144	0.2833	0.2954	0.2958	0.2923	0.2979	0.3413	0.2876	0.3162	0.3353	0.2991	0.3339	0.3098	0.2941	0.3030	0.2790	0.3049	0.3018	0.3103	0.3080	0.3091	0.2761	0.3010	0.3334	0.3071	0.3227	0.3068	0.3244	0.3221	0.2987	0.2880	0.3132	0.2985	0.2987	0.3096	0.3102	0.2979	0.3128	0.3207	0.3072	0.3203	0.3020	0.3009	0.3194	0.2965	0.3256	0.2932	0.3214	0.3498	0.3502	0.3501	0.3133	0.3388	0.2931	0.2968	0.3143	0.3290	0.3087	0.3197	0.3033	0.3193	0.3755	0.3570	0.3724	0.3534	0.3749	0.3464	0.3419	0.4109	0.3814	0.3889	0.3140
0:59:10	30.0	0.3031	0.3543	0.3519	0.3584	0.3402	0.3460	0.3276	0.3129	0.3393	0.3279	0.2902	0.2939	0.3155	0.3393	0.3031	0.3164	0.3404	0.2933	0.3262	0.2938	0.3168	0.3125	0.3041	0.3226	0.3208	0.2835	0.2964	0.2959	0.2923	0.2980	0.3415	0.2874	0.3221	0.3364	0.2993	0.3350	0.3109	0.2939	0.3041	0.2789	0.3061	0.3019	0.3099	0.3078	0.3112	0.2757	0.3006	0.3380	0.3071	0.3233	0.3070	0.3253	0.3230	0.2987	0.2879	0.3140	0.2985	0.2993	0.3090	0.3120	0.2980	0.3127	0.3212	0.3071	0.3202	0.3019	0.3011	0.3199	0.2967	0.3265	0.2933	0.3230	0.3486	0.3673	0.3507	0.3135	0.3393	0.2932	0.2967	0.3148	0.3289	0.3087	0.3199	0.3033	0.3195	0.3762	0.3569	0.3725	0.3535	0.3847	0.3463	0.3427	0.4180	0.3815	0.3901	0.3140
1:09:10	30.1	0.3029	0.3589	0.3530	0.3645	0.3412	0.3467	0.3290	0.3129	0.3449	0.3297	0.2901	0.2938	0.3194	0.3401	0.3030	0.3170	0.3416	0.2933	0.3336	0.2936	0.3179	0.3124	0.3040	0.3238	0.3299	0.2835	0.2976	0.2959	0.2922	0.2981	0.3514	0.2873	0.3383	0.3381	0.2993	0.3366	0.3120	0.2939	0.3049	0.2789	0.3072	0.3020	0.3125	0.3079	0.3122	0.2755	0.3004	0.3446	0.3072	0.3245	0.3070	0.3272	0.3246	0.2988	0.2879	0.3152	0.2985	0.3002	0.3088	0.3141	0.2981	0.3126	0.3227	0.3069	0.3201	0.3017	0.3014	0.3213	0.2968	0.3279	0.2931	0.3249	0.3523	0.3770	0.3515	0.3135	0.3405	0.2932	0.2968	0.3157	0.3302	0.3086	0.3196	0.3055	0.3196	0.3784	0.3568	0.3737	0.3534	0.4093	0.3461	0.3444	0.4325	0.3826	0.3933	0.3146
1:19:10	30.1	0.3026	0.3649	0.3541	0.3738	0.3432	0.3481	0.3314	0.3127	0.3522	0.3320	0.2901	0.2938	0.3246	0.3407	0.3028	0.3182	0.3429	0.2932	0.3455	0.2934	0.3191	0.3123	0.3039	0.3254	0.3378	0.2835	0.2989	0.2958	0.2922	0.2981	0.3670	0.2873	0.3568	0.3396	0.2992	0.3377	0.3125	0.2939	0.3058	0.2790	0.3081	0.3021	0.3133	0.3077	0.3133	0.2755	0.3003	0.3530	0.3074	0.3259	0.3071	0.3293	0.3265	0.2988	0.2879	0.3168	0.2983	0.3013	0.3087	0.3164	0.2979	0.3125	0.3240	0.3067	0.3199	0.3016	0.3017	0.3228	0.2966	0.3289	0.2931	0.3270	0.3545	0.3961	0.3518	0.3134	0.3421	0.2933	0.2968	0.3180	0.3322	0.3085	0.3197	0.3065	0.3195	0.3786	0.3568	0.3771	0.3534	0.4125	0.3462	0.3464	0.4492	0.3851	0.3974	0.3142
1:29:10	30.0	0.3024	0.3738	0.3563	0.3878	0.3458	0.3507	0.3350	0.3128	0.3616	0.3358	0.2902	0.2939	0.3314	0.3419	0.3028	0.3190	0.3440	0.2932	0.3589	0.2932	0.3220	0.3123	0.3040	0.3272	0.3494	0.2835	0.3005	0.2957	0.2920	0.2981	0.3816	0.2872	0.3680	0.3400	0.2992	0.3389	0.3132	0.2937	0.3069	0.2790	0.3089	0.3020	0.3157	0.3079	0.3134	0.2753	0.3001	0.3640	0.3074	0.3288	0.3071	0.3323	0.3287	0.2989	0.2879	0.3186	0.2983	0.3025	0.3083	0.3178	0.2980	0.3124	0.3256	0.3067	0.3197	0.3015	0.3021	0.3245	0.2966	0.3301	0.2931	0.3296	0.3542	0.4043	0.3528	0.3134	0.3442	0.2933	0.2968	0.3201	0.3342	0.3084	0.3194	0.3041	0.3197	0.3835	0.3567	0.3821	0.3534	0.4307	0.3461	0.3501	0.4670	0.3896	0.4094	0.3140
1:39:10	30.0	0.3023	0.3829	0.3633	0.4008	0.3471	0.3567	0.3400	0.3127	0.3716	0.3405	0.2902	0.2938	0.3384	0.3435	0.3025	0.3187	0.3447	0.2931	0.3762	0.2933	0.3257	0.3122	0.3039	0.3293	0.3696	0.2835	0.3022	0.2956	0.2920	0.2981	0.3993	0.2872	0.3812	0.3449	0.2992	0.3419	0.3138	0.2938	0.3092	0.2791	0.3102	0.3020	0.3185	0.3079	0.3125	0.2757	0.2998	0.3762	0.3074	0.3318	0.3073	0.3365	0.3328	0.2989	0.2878	0.3207	0.2981	0.3038	0.3081	0.3189	0.2982	0.3125	0.3270	0.3065	0.3196	0.3015	0.3025	0.3269	0.2967	0.3300	0.2931	0.3317	0.3560	0.4409	0.3535	0.3134	0.3464	0.2933	0.2969	0.3217	0.3364	0.3084	0.3192	0.3040	0.3197	0.3912	0.3569	0.3920	0.3535	0.4528	0.3462	0.3555	0.4864	0.4010	0.4281	0.3140
