Plate,Experiment,Group,Filename,Sample,Workspace,Compensation Source,Plot Title,Gate,Autogate Status,X Parameter,Y Parameter,Count,Volume,Concentration,%Total,%Gated,X Mean,Y Mean,X Median,Y Median,X Peak,Y Peak,X SD,Y SD,X %CV,Y %CV,X rSD,Y rSD,X %rCV,Y %rCV
24-08-19 Day2 -- Epoch.plate1,Experiment,10^-2 dilution,,B1,Experiment,Experiment,N/A,All Events,N/A,N/A,N/A,10243,146,70.158,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
24-08-19 Day2 -- Epoch.plate1,Experiment,10^-2 dilution,,B1,Experiment,Experiment,,cells,N/A,FSC-A,SSC-A,9021,146,61.788,88.070,88.070,22146,17689,15450,10453,19425,8959,55929.36,62674.22,252.55,354.31,5184.65,7435.24,33.56,71.13
24-08-19 Day2 -- Epoch.plate1,Experiment,10^-2 dilution,,B1,Experiment,Experiment,,veroniiHIST,N/A,YL2-H,N/A,51,146,0.349,0.498,0.565,128140,N/A,132843,N/A,92513,N/A,46443.83,N/A,36.24,N/A,35530.91,N/A,26.75,N/A
24-08-19 Day2 -- Epoch.plate1,Experiment,10^-2 dilution,,B1,Experiment,Experiment,,cells,N/A,YL2-H,N/A,9021,146,61.788,88.070,88.070,1021,N/A,226,N/A,182,N/A,10199.74,N/A,999.43,N/A,154.94,N/A,68.68,N/A
24-08-19 Day2 -- Epoch.plate1,Experiment,10^-2 dilution,,B1,Experiment,Experiment,,protegHIST,N/A,VL2-H,N/A,1394,146,9.548,13.609,15.453,18266,N/A,14179,N/A,13430,N/A,23642.42,N/A,129.43,N/A,4022.31,N/A,28.37,N/A
24-08-19 Day2 -- Epoch.plate1,Experiment,10^-2 dilution,,B1,Experiment,Experiment,,cells,N/A,VL2-H,N/A,9021,146,61.788,88.070,88.070,6828,N/A,4700,N/A,3190,N/A,21245.13,N/A,311.17,N/A,3303.44,N/A,70.28,N/A
24-08-19 Day2 -- Epoch.plate1,Experiment,10^-2 dilution,,B1,Experiment,Experiment,,veronniiQUADRANT,N/A,YL2-A,VL2-A,37,146,0.253,0.361,0.410,20245,1105,1041,922,484,1479,49102.44,751.48,242.54,68.02,825.00,580.07,79.29,62.93
24-08-19 Day2 -- Epoch.plate1,Experiment,10^-2 dilution,,B1,Experiment,Experiment,,protegensQUADRANT,N/A,YL2-A,VL2-A,5081,146,34.801,49.605,56.324,310,9698,208,7008,68,8139,802.11,14173.08,258.52,146.15,187.84,4415.46,90.34,63.01
24-08-19 Day2 -- Epoch.plate1,Experiment,10^-2 dilution,,B1,Experiment,Experiment,,cells,N/A,YL2-A,VL2-A,9021,146,61.788,88.070,88.070,1017,6904,114,4566,300,7880,11747.13,24315.98,1154.82,352.19,190.16,4420.81,166.50,96.82
24-08-19 Day2 -- Epoch.plate1,Experiment,10^-2 dilution,,B1,Experiment,Experiment,,grimHIST,N/A,BL1-H,N/A,30,146,0.205,0.293,0.333,6911,N/A,4496,N/A,8095,N/A,5881.52,N/A,85.11,N/A,632.37,N/A,14.06,N/A
24-08-19 Day2 -- Epoch.plate1,Experiment,10^-2 dilution,,B1,Experiment,Experiment,,cells,N/A,BL1-H,N/A,9021,146,61.788,88.070,88.070,605,N/A,508,N/A,-161,N/A,763.19,N/A,126.18,N/A,389.76,N/A,76.72,N/A
24-08-19 Day2 -- Epoch.plate1,Experiment,10^-2 dilution,,B1,Experiment,Experiment,,putidaHIST,N/A,BL2-H,N/A,1547,146,10.596,15.103,17.149,11836,N/A,11439,N/A,27098,N/A,7913.43,N/A,66.86,N/A,10464.68,N/A,91.48,N/A
24-08-19 Day2 -- Epoch.plate1,Experiment,10^-2 dilution,,B1,Experiment,Experiment,,cells,N/A,BL2-H,N/A,9021,146,61.788,88.070,88.070,2464,N/A,430,N/A,575,N/A,5397.65,N/A,219.05,N/A,456.66,N/A,106.12,N/A
24-08-19 Day2 -- Epoch.plate1,Experiment,10^-2 dilution,,B1,Experiment,Experiment,,putidaQUADRANT,N/A,YL2-A,BL2-A,1318,146,9.027,12.867,14.610,167,14326,82,13996,30,14538,675.01,8466.21,403.54,59.10,183.76,10077.00,223.02,72.00
24-08-19 Day2 -- Epoch.plate1,Experiment,10^-2 dilution,,B1,Experiment,Experiment,,cells,N/A,YL2-A,BL2-A,9021,146,61.788,88.070,88.070,1017,2650,114,467,300,510,11747.13,5901.49,1154.82,222.70,190.16,514.94,166.50,110.37
24-08-19 Day2 -- Epoch.plate1,Experiment,10^-2 dilution,,B1,Experiment,Experiment,,cells,N/A,Time,FSC-A,9021,146,61.788,88.070,88.070,153565,22146,144784,15450,54945,19425,103396.62,55929.36,67.33,252.55,132433.24,5184.65,91.47,33.56
24-08-19 Day2 -- Epoch.plate1,Experiment,10^-2 dilution,,B1,Experiment,Experiment,,R1,N/A,YL2-A,BL1-A,16,146,0.110,0.156,0.177,2994,5917,231,4706,14329,9144,5111.92,2967.72,170.74,50.15,444.47,1366.38,192.61,29.03
