Plate,Experiment,Group,Filename,Sample,Workspace,Compensation Source,Plot Title,Gate,Autogate Status,X Parameter,Y Parameter,Count,Volume,Concentration,%Total,%Gated,X Mean,Y Mean,X Median,Y Median,X Peak,Y Peak,X SD,Y SD,X %CV,Y %CV,X rSD,Y rSD,X %rCV,Y %rCV
24-07-08 Day2 -- Epoch.plate2,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,Experiment,N/A,All Events,N/A,N/A,N/A,12177,47,259.085,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
24-07-08 Day2 -- Epoch.plate2,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,Experiment,,cells,N/A,FSC-A,SSC-A,10000,47,212.766,82.122,82.122,24508,10955,18900,8276,26449,17057,20248.30,15065.65,82.62,137.52,7577.57,8507.90,40.09,102.80
24-07-08 Day2 -- Epoch.plate2,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,Experiment,,veroniiHIST,N/A,YL2-H,N/A,3,47,0.064,0.025,0.030,35100,N/A,32667,N/A,29806,N/A,6843.43,N/A,19.50,N/A,4240.54,N/A,12.98,N/A
24-07-08 Day2 -- Epoch.plate2,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,Experiment,,cells,N/A,YL2-H,N/A,10000,47,212.766,82.122,82.122,227,N/A,189,N/A,95,N/A,629.76,N/A,277.54,N/A,124.08,N/A,65.58,N/A
24-07-08 Day2 -- Epoch.plate2,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,Experiment,,protegHIST,N/A,VL2-H,N/A,6733,47,143.255,55.293,67.330,41230,N/A,34161,N/A,96273,N/A,29234.81,N/A,70.91,N/A,20335.06,N/A,59.53,N/A
24-07-08 Day2 -- Epoch.plate2,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,Experiment,,cells,N/A,VL2-H,N/A,10000,47,212.766,82.122,82.122,30221,N/A,23378,N/A,10731,N/A,32104.93,N/A,106.23,N/A,22749.77,N/A,97.31,N/A
24-07-08 Day2 -- Epoch.plate2,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,Experiment,,veronniiQUADRANT,N/A,YL2-A,VL2-A,1,47,0.021,0.008,0.010,409,1093,409,1093,409,1093,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
24-07-08 Day2 -- Epoch.plate2,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,Experiment,,protegensQUADRANT,N/A,YL2-A,VL2-A,6648,47,141.447,54.595,66.480,198,39037,135,29540,98,50241,754.59,38952.68,380.85,99.78,123.66,26218.87,91.85,88.76
24-07-08 Day2 -- Epoch.plate2,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,Experiment,,cells,N/A,YL2-A,VL2-A,10000,47,212.766,82.122,82.122,111,36132,69,27351,272,33317,629.03,38721.38,567.63,107.17,153.49,24946.24,223.54,91.21
24-07-08 Day2 -- Epoch.plate2,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,Experiment,,grimHIST,N/A,BL1-H,N/A,3,47,0.064,0.025,0.030,11407,N/A,8691,N/A,21540,N/A,9085.34,N/A,79.65,N/A,6972.05,N/A,80.22,N/A
24-07-08 Day2 -- Epoch.plate2,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,Experiment,,cells,N/A,BL1-H,N/A,10000,47,212.766,82.122,82.122,404,N/A,366,N/A,178,N/A,359.03,N/A,88.87,N/A,251.12,N/A,68.59,N/A
24-07-08 Day2 -- Epoch.plate2,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,Experiment,,putidaHIST,N/A,BL2-H,N/A,6,47,0.128,0.049,0.060,8144,N/A,8789,N/A,8937,N/A,2857.11,N/A,35.08,N/A,283.50,N/A,3.23,N/A
24-07-08 Day2 -- Epoch.plate2,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,Experiment,,cells,N/A,BL2-H,N/A,10000,47,212.766,82.122,82.122,125,N/A,109,N/A,271,N/A,228.17,N/A,182.13,N/A,84.20,N/A,76.98,N/A
24-07-08 Day2 -- Epoch.plate2,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,Experiment,,putidaQUADRANT,N/A,YL2-A,BL2-A,5,47,0.106,0.041,0.050,92,9045,95,8529,95,8529,193.27,965.90,209.37,10.68,262.90,326.42,275.78,3.83
24-07-08 Day2 -- Epoch.plate2,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,Experiment,,cells,N/A,YL2-A,BL2-A,10000,47,212.766,82.122,82.122,111,123,69,105,272,82,629.03,242.81,567.63,197.05,153.49,111.34,223.54,106.34
24-07-08 Day2 -- Epoch.plate2,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,Experiment,,cells,N/A,Time,FSC-A,10000,47,212.766,82.122,82.122,62496,24508,65773,18900,65774,26449,30668.10,20248.30,49.07,82.62,38516.46,7577.57,58.56,40.09
24-07-08 Day2 -- Epoch.plate2,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,Experiment,,R1,N/A,YL2-A,BL1-A,3,47,0.064,0.025,0.030,312,15560,209,17243,209,23012,303.21,8420.55,97.29,54.12,201.08,8554.20,96.28,49.61
24-07-08 Day2 -- Epoch.plate2,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,Experiment,,cells,N/A,YL2-A,BL1-A,10000,47,212.766,82.122,82.122,111,165,69,131,272,-82,629.03,443.24,567.63,269.35,153.49,310.57,223.54,237.70
