Plate,Experiment,Group,Filename,Sample,Workspace,Compensation Source,Plot Title,Gate,Autogate Status,X Parameter,Y Parameter,Count,Volume,Concentration,%Total,%Gated,X Mean,Y Mean,X Median,Y Median,X Peak,Y Peak,X SD,Y SD,X %CV,Y %CV,X rSD,Y rSD,X %rCV,Y %rCV
24-07-08 Day2 -- H1.plate2,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,Experiment,N/A,All Events,N/A,N/A,N/A,5739,146,39.308,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
24-07-08 Day2 -- H1.plate2,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,Experiment,,cells,N/A,FSC-A,SSC-A,5709,146,39.103,99.477,99.477,19582,7351,14014,5098,8145,4644,39082.60,20624.53,199.58,280.58,4223.93,1785.05,30.14,35.01
24-07-08 Day2 -- H1.plate2,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,Experiment,,veroniiHIST,N/A,YL2-H,N/A,0,146,0.000,0.000,0.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
24-07-08 Day2 -- H1.plate2,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,Experiment,,cells,N/A,YL2-H,N/A,5709,146,39.103,99.477,99.477,155,N/A,131,N/A,118,N/A,169.60,N/A,109.26,N/A,101.50,N/A,77.32,N/A
24-07-08 Day2 -- H1.plate2,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,Experiment,,protegHIST,N/A,VL2-H,N/A,4648,146,31.836,80.990,81.415,87226,N/A,84341,N/A,87876,N/A,24622.61,N/A,28.23,N/A,22193.62,N/A,26.31,N/A
24-07-08 Day2 -- H1.plate2,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,Experiment,,cells,N/A,VL2-H,N/A,5709,146,39.103,99.477,99.477,71533,N/A,78040,N/A,86946,N/A,39663.30,N/A,55.45,N/A,28488.51,N/A,36.51,N/A
24-07-08 Day2 -- H1.plate2,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,Experiment,,veronniiQUADRANT,N/A,YL2-A,VL2-A,1,146,0.007,0.017,0.018,807,299,807,299,807,299,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
24-07-08 Day2 -- H1.plate2,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,Experiment,,protegensQUADRANT,N/A,YL2-A,VL2-A,2491,146,17.062,43.405,43.633,125,76706,84,79197,423,85242,233.27,35495.59,186.46,46.27,79.22,25960.99,94.72,32.78
24-07-08 Day2 -- H1.plate2,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,Experiment,,cells,N/A,YL2-A,VL2-A,5709,146,39.103,99.477,99.477,24,70502,2,76446,459,78407,189.95,40130.05,807.46,56.92,115.75,28703.08,5427.58,37.55
24-07-08 Day2 -- H1.plate2,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,Experiment,,grimHIST,N/A,BL1-H,N/A,2,146,0.014,0.035,0.035,4358,N/A,4358,N/A,4588,N/A,325.32,N/A,7.47,N/A,341.05,N/A,7.83,N/A
