

Software Version	3.14.03



Experiment File Path:	C:\Users\Public\Documents\Experiments\Hermina\serial_passage\8July24\day1--8July24.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\rough_growth_curve.prt



Plate Number	Plate 1
Date	08/07/2024
Time	11:59:28
Reader Type:	Epoch 2
Reader Serial Number:	23053024
Reading Type	Reader

Procedure Details

Plate Type	96 WELL PLATE (Use plate lid)
Well Selection	Runtime
Eject plate on completion	
Set Temperature	Setpoint 30°C, Gradient 1 °C
	Preheat before moving to next step
Read	OD 600
	Absorbance Endpoint
	Full Plate
	Wavelengths:  600
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8
Start Kinetic	Runtime 24:00:00 (HH:MM:SS), Interval 0:10:00, 145 Reads
    Shake	Double Orbital: Continuous
	Frequency: 205 cpm (5 mm)
    Read	Absorbance Endpoint
	Full Plate
	Wavelengths:  600
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8
End Kinetic	

OD 600:600

0:09:16	30.1	0.2831	0.3428	0.6944	0.3324	0.4431	0.5058	0.9037	0.6119	0.3223	0.3820	0.2698	0.2736	0.3343	1.2390	0.3508	1.2285	0.4097	0.2692	0.3204	0.5338	0.5669	0.2681	0.2781	0.4006	0.3138	0.3799	0.5493	0.3802	0.3235	0.2682	0.3287	0.6142	0.3128	0.4299	0.2667	0.4525	0.6655	0.3364	0.5060	0.3388	0.4221	0.2621	0.7655	0.3927	0.8457	0.3215	0.2576	0.3162	0.3276	1.1489	0.3101	1.0977	0.3774	0.2720	0.3149	0.2605	0.3223	0.4655	0.2723	0.4026	0.3106	0.3286	0.5098	0.3308	0.2643	0.2607	0.8771	0.2592	0.3127	0.3805	0.2516	0.4430	0.7571	0.3071	0.3938	0.3178	0.5674	0.2551	0.3264	0.2500	0.7897	0.3078	0.2640	0.3377	0.2707	0.8218	0.2570	0.6908	0.3341	0.3351	0.3224	0.2879	0.3356	0.4192	1.0641	0.2817
0:19:16	30.1	0.2833	0.3490	0.6994	0.3441	0.4594	0.5291	0.8718	0.6522	0.3285	0.3936	0.2697	0.2738	0.3359	1.2795	0.3477	1.2311	0.4268	0.2691	0.3250	0.5435	0.5661	0.2680	0.2782	0.3926	0.3196	0.3762	0.5292	0.3790	0.3253	0.2681	0.3343	0.6450	0.3234	0.4484	0.2669	0.4373	0.6469	0.3442	0.4887	0.3431	0.4716	0.2620	0.7687	0.4331	0.8916	0.3253	0.2576	0.3189	0.3317	1.1505	0.3129	1.0969	0.3969	0.2719	0.3282	0.2604	0.3241	0.4743	0.2722	0.4022	0.3110	0.3323	0.5292	0.3329	0.2650	0.2605	0.8645	0.2586	0.3155	0.3935	0.2517	0.4415	0.7755	0.3105	0.3978	0.3226	0.5630	0.2550	0.3282	0.2500	0.7145	0.3110	0.2640	0.3404	0.2708	0.8076	0.2570	0.6885	0.3369	0.3385	0.3265	0.2879	0.3396	0.4430	1.0670	0.2814
0:29:16	30.1	0.2834	0.3722	0.7412	0.3545	0.5015	0.5888	0.9046	0.6774	0.3340	0.4192	0.2697	0.2738	0.3430	1.3022	0.3451	1.2614	0.4875	0.2689	0.3302	0.5828	0.5886	0.2679	0.2780	0.3972	0.3255	0.3696	0.5575	0.3762	0.3300	0.2681	0.3420	0.6326	0.3413	0.5717	0.2669	0.4356	0.6987	0.3549	0.5418	0.3524	0.5295	0.2621	0.7827	0.4809	0.9009	0.3303	0.2576	0.3228	0.3402	1.2049	0.3125	1.1220	0.4275	0.2717	0.3487	0.2604	0.3265	0.4821	0.2721	0.4295	0.3150	0.3308	0.5595	0.3334	0.2646	0.2606	0.8868	0.2608	0.3186	0.4502	0.2516	0.4591	0.8039	0.3189	0.4107	0.3297	0.6214	0.2549	0.3292	0.2500	0.7387	0.3152	0.2639	0.3420	0.2704	0.8216	0.2568	0.7057	0.3399	0.3518	0.3297	0.2880	0.3445	0.4986	1.0988	0.2813
0:39:16	30.2	0.2834	0.3926	0.7848	0.3871	0.5204	0.6261	0.8853	0.6566	0.3428	0.4992	0.2697	0.2737	0.3471	1.3208	0.3455	1.2947	0.5276	0.2689	0.3360	0.5664	0.6232	0.2677	0.2779	0.4260	0.3275	0.3653	0.6010	0.3756	0.3332	0.2680	0.3491	0.6590	0.3571	0.5939	0.2669	0.5194	0.7454	0.3572	0.5673	0.3594	0.5512	0.2619	0.7959	0.5231	0.9534	0.3340	0.2575	0.3284	0.3437	1.2277	0.3133	1.1518	0.4807	0.2715	0.3807	0.2603	0.3290	0.5211	0.2718	0.4698	0.3167	0.3314	0.5950	0.3349	0.2640	0.2606	0.9046	0.2595	0.3211	0.5045	0.2516	0.4816	0.8307	0.3216	0.4305	0.3339	0.6537	0.2547	0.3252	0.2498	0.7619	0.3197	0.2639	0.3453	0.2704	0.8529	0.2568	0.7263	0.3423	0.3605	0.3331	0.2880	0.3491	0.5292	1.1403	0.2813
0:49:16	30.2	0.2835	0.4353	0.7983	0.4382	0.5500	0.6138	0.9002	0.6605	0.3499	0.5328	0.2695	0.2736	0.3500	1.3270	0.3470	1.3025	0.5305	0.2689	0.3445	0.5709	0.6115	0.2677	0.2778	0.4649	0.3315	0.3625	0.6298	0.3744	0.3386	0.2680	0.3595	0.6524	0.3776	0.5973	0.2668	0.4891	0.7524	0.3668	0.6100	0.3621	0.5485	0.2617	0.8173	0.5561	0.9688	0.3366	0.2577	0.3314	0.3459	1.2486	0.3164	1.1762	0.4888	0.2714	0.4138	0.2602	0.3300	0.5334	0.2717	0.5061	0.3162	0.3325	0.6125	0.3393	0.2645	0.2605	0.9091	0.2604	0.3235	0.5117	0.2515	0.5132	0.8632	0.3301	0.4563	0.3425	0.6740	0.2545	0.3210	0.2497	0.7665	0.3240	0.2636	0.3472	0.2704	0.8734	0.2568	0.7496	0.3431	0.3726	0.3415	0.2878	0.3556	0.5286	1.1711	0.2811
0:59:16	30.2	0.2836	0.4687	0.8266	0.4364	0.5547	0.6383	0.9022	0.6599	0.3593	0.5385	0.2696	0.2740	0.3615	1.3475	0.3511	1.3109	0.5618	0.2689	0.3588	0.5906	0.6059	0.2676	0.2779	0.4781	0.3415	0.3615	0.6297	0.3758	0.3456	0.2681	0.3734	0.6676	0.4004	0.5890	0.2670	0.5198	0.7539	0.3744	0.6303	0.3705	0.5652	0.2619	0.8150	0.5480	0.9707	0.3390	0.2574	0.3370	0.3492	1.2578	0.3233	1.1937	0.5059	0.2716	0.4480	0.2604	0.3315	0.5381	0.2718	0.5269	0.3174	0.3421	0.6361	0.3472	0.2659	0.2603	0.9282	0.2580	0.3268	0.5218	0.2516	0.5508	0.8903	0.3416	0.4831	0.3598	0.7193	0.2547	0.3208	0.2498	0.8000	0.3297	0.2637	0.3497	0.2705	0.8975	0.2567	0.7656	0.3453	0.3878	0.3439	0.2880	0.3624	0.5362	1.1962	0.2811
1:09:16	30.2	0.2836	0.4859	0.8475	0.4764	0.5743	0.6585	0.9159	0.6673	0.3710	0.5246	0.2694	0.2735	0.3725	1.3693	0.3550	1.3284	0.5755	0.2688	0.3838	0.6054	0.6135	0.2677	0.2777	0.4984	0.3485	0.3637	0.6320	0.3771	0.3535	0.2681	0.3914	0.6598	0.4243	0.6062	0.2668	0.5509	0.7557	0.3882	0.6447	0.3789	0.5723	0.2618	0.8144	0.5514	1.0003	0.3426	0.2576	0.3432	0.3545	1.2649	0.3307	1.2293	0.5282	0.2714	0.4701	0.2604	0.3327	0.5260	0.2717	0.5500	0.3184	0.3514	0.6730	0.3581	0.2654	0.2602	0.9343	0.2587	0.3328	0.5286	0.2515	0.5630	0.9315	0.3644	0.5096	0.3819	0.7722	0.2545	0.3222	0.2498	0.8189	0.3376	0.2637	0.3525	0.2703	0.9232	0.2566	0.7852	0.3480	0.4372	0.3457	0.2882	0.3738	0.5750	1.2154	0.2810
1:19:16	30.2	0.2836	0.5095	0.8811	0.5078	0.6219	0.6632	0.9267	0.6952	0.3870	0.5303	0.2696	0.2735	0.3900	1.3867	0.3609	1.3451	0.5903	0.2690	0.4159	0.6170	0.6243	0.2675	0.2777	0.5099	0.3626	0.3682	0.6431	0.3788	0.3637	0.2682	0.4128	0.6808	0.4577	0.6123	0.2669	0.5619	0.8029	0.4031	0.6691	0.3914	0.5871	0.2619	0.8293	0.5537	1.0289	0.3476	0.2575	0.3530	0.3637	1.2866	0.3392	1.2332	0.5374	0.2716	0.4919	0.2604	0.3358	0.5367	0.2717	0.5569	0.3194	0.3922	0.6941	0.3931	0.2645	0.2603	0.9526	0.2596	0.3375	0.5444	0.2517	0.5772	0.9535	0.4039	0.5326	0.4114	0.7873	0.2547	0.3247	0.2498	0.8154	0.3467	0.2637	0.3572	0.2704	0.9452	0.2567	0.8019	0.3525	0.4917	0.3545	0.2889	0.3798	0.5743	1.2382	0.2809
1:29:16	30.2	0.2834	0.5393	0.8939	0.5332	0.6515	0.6759	0.9523	0.7355	0.4139	0.5417	0.2694	0.2736	0.4050	1.3981	0.3672	1.3525	0.6026	0.2689	0.4591	0.6130	0.6414	0.2674	0.2775	0.5160	0.3919	0.3737	0.6751	0.3816	0.3729	0.2680	0.4463	0.7047	0.4906	0.6507	0.2668	0.5782	0.8274	0.4242	0.6818	0.4036	0.6067	0.2617	0.8505	0.5586	1.0606	0.3536	0.2572	0.3662	0.3719	1.2996	0.3470	1.2473	0.5533	0.2715	0.5000	0.2603	0.3393	0.5612	0.2715	0.5857	0.3221	0.4431	0.7146	0.4278	0.2640	0.2602	0.9804	0.2599	0.3448	0.5688	0.2514	0.5837	0.9726	0.4390	0.5444	0.4412	0.8168	0.2546	0.3280	0.2496	0.8427	0.3632	0.2637	0.3624	0.2702	0.9688	0.2565	0.8253	0.3584	0.5251	0.3598	0.2894	0.4074	0.5930	1.2620	0.2809
1:39:16	30.2	0.2836	0.5794	0.9180	0.5535	0.6399	0.6840	0.9565	0.7553	0.4462	0.5623	0.2693	0.2735	0.4391	1.3909	0.3757	1.3579	0.6171	0.2689	0.4692	0.6149	0.6538	0.2675	0.2775	0.5354	0.4392	0.3800	0.6965	0.3849	0.3873	0.2681	0.4962	0.7176	0.5091	0.6709	0.2668	0.5917	0.8444	0.4371	0.7079	0.4237	0.6260	0.2617	0.8658	0.5733	1.0849	0.3627	0.2573	0.3819	0.3898	1.3134	0.3777	1.2559	0.5770	0.2715	0.5167	0.2604	0.3448	0.5706	0.2715	0.5842	0.3246	0.4653	0.7320	0.4475	0.2660	0.2602	1.0076	0.2609	0.3555	0.5721	0.2515	0.5927	1.0060	0.4691	0.5641	0.4653	0.8288	0.2547	0.3328	0.2496	0.8583	0.3867	0.2637	0.3685	0.2704	0.9952	0.2565	0.8358	0.3654	0.5463	0.3706	0.2896	0.4392	0.6110	1.2852	0.2808
