FLOWplateWell,uniqID,OD_well,putida,protegens,grimontii,veronii,CommRich,Date,Day,Incubator,Plate,Heat,Heat_Day,Recov_Day
plate1-A1,24-07-02 Epoch A8,A8,1,0,1,1,3,24-07-02,1,Epoch,1,6,1,NA
plate1-B1,24-07-02 Epoch B1,B1,1,0,0,1,2,24-07-02,1,Epoch,1,6,1,NA
plate1-C1,24-07-02 Epoch C1,C1,1,0,1,0,2,24-07-02,1,Epoch,1,6,1,NA
plate1-D1,24-07-02 Epoch D1,D1,1,1,0,0,2,24-07-02,1,Epoch,1,6,1,NA
plate1-E1,24-07-02 Epoch E1,E1,0,0,0,1,1,24-07-02,1,Epoch,1,6,1,NA
plate1-F1,24-07-02 Epoch F1,F1,0,0,1,0,1,24-07-02,1,Epoch,1,6,1,NA
plate1-G1,24-07-02 Epoch G1,G1,0,1,0,0,1,24-07-02,1,Epoch,1,6,1,NA
plate1-H1,24-07-02 Epoch H6,H6,1,0,0,0,1,24-07-02,1,Epoch,1,6,1,NA
plate1-A3,24-07-02 Epoch A2,A2,1,0,0,0,1,24-07-02,1,Epoch,1,6,1,NA
plate1-B3,24-07-02 Epoch B2,B2,0,1,0,0,1,24-07-02,1,Epoch,1,6,1,NA
plate1-C3,24-07-02 Epoch C2,C2,0,0,1,0,1,24-07-02,1,Epoch,1,6,1,NA
plate1-D3,24-07-02 Epoch D2,D2,0,0,0,1,1,24-07-02,1,Epoch,1,6,1,NA
plate1-E3,24-07-02 Epoch E2,E2,1,1,0,0,2,24-07-02,1,Epoch,1,6,1,NA
plate1-F3,24-07-02 Epoch F2,F2,1,0,1,0,2,24-07-02,1,Epoch,1,6,1,NA
plate1-G3,24-07-02 Epoch G2,G2,1,0,0,1,2,24-07-02,1,Epoch,1,6,1,NA
plate1-H3,24-07-02 Epoch H2,H2,0,1,1,0,2,24-07-02,1,Epoch,1,6,1,NA
plate1-A5,24-07-02 Epoch A3,A3,0,1,0,1,2,24-07-02,1,Epoch,1,6,1,NA
plate1-B5,24-07-02 Epoch B3,B3,0,0,1,1,2,24-07-02,1,Epoch,1,6,1,NA
plate1-C5,24-07-02 Epoch C3,C3,1,1,1,0,3,24-07-02,1,Epoch,1,6,1,NA
plate1-D5,24-07-02 Epoch D3,D3,1,1,0,1,3,24-07-02,1,Epoch,1,6,1,NA
plate1-E5,24-07-02 Epoch E3,E3,1,0,1,1,3,24-07-02,1,Epoch,1,6,1,NA
plate1-F5,24-07-02 Epoch F3,F3,0,1,1,1,3,24-07-02,1,Epoch,1,6,1,NA
plate1-G5,24-07-02 Epoch G3,G3,1,1,1,1,4,24-07-02,1,Epoch,1,6,1,NA
plate1-H5,24-07-02 Epoch H3,H3,0,0,0,0,0,24-07-02,1,Epoch,1,6,1,NA
plate1-A7,24-07-02 Epoch A4,A4,0,0,1,0,1,24-07-02,1,Epoch,1,6,1,NA
plate1-B7,24-07-02 Epoch B4,B4,0,0,0,1,1,24-07-02,1,Epoch,1,6,1,NA
plate1-C7,24-07-02 Epoch C4,C4,1,1,0,0,2,24-07-02,1,Epoch,1,6,1,NA
plate1-D7,24-07-02 Epoch D4,D4,1,0,1,0,2,24-07-02,1,Epoch,1,6,1,NA
plate1-E7,24-07-02 Epoch E4,E4,1,0,0,1,2,24-07-02,1,Epoch,1,6,1,NA
plate1-F7,24-07-02 Epoch F4,F4,0,1,1,0,2,24-07-02,1,Epoch,1,6,1,NA
plate1-G7,24-07-02 Epoch G4,G4,1,0,0,0,1,24-07-02,1,Epoch,1,6,1,NA
plate1-H7,24-07-02 Epoch H4,H4,0,1,0,0,1,24-07-02,1,Epoch,1,6,1,NA
plate1-A9,24-07-02 Epoch A5,A5,1,1,1,0,3,24-07-02,1,Epoch,1,6,1,NA
plate1-B9,24-07-02 Epoch B5,B5,1,1,0,1,3,24-07-02,1,Epoch,1,6,1,NA
