FLOWplateWell,uniqID,OD_well,putida,protegens,grimontii,veronii,CommRich,Date,Day,Incubator,Plate,Heat,Heat_Day,Recov_Day,Count_grimontii,Count_putida,Count_protegens,Count_veronii,Volume
plate1-A1,24-07-02 Epoch A8,A8,1,0,1,1,3,24-07-02,1,Epoch,1,6,1,NA,3,8218,15,29,13
plate1-B1,24-07-02 Epoch B1,B1,1,0,0,1,2,24-07-02,1,Epoch,1,6,1,NA,0,5333,7,75,5
plate1-C1,24-07-02 Epoch C1,C1,1,0,1,0,2,24-07-02,1,Epoch,1,6,1,NA,33,9248,10,0,12
plate1-D1,24-07-02 Epoch D1,D1,1,1,0,0,2,24-07-02,1,Epoch,1,6,1,NA,0,28,5853,1,44
plate1-E1,24-07-02 Epoch E1,E1,0,0,0,1,1,24-07-02,1,Epoch,1,6,1,NA,0,0,0,6217,6
plate1-F1,24-07-02 Epoch F1,F1,0,0,1,0,1,24-07-02,1,Epoch,1,6,1,NA,7059,0,0,0,10
plate1-G1,24-07-02 Epoch G1,G1,0,1,0,0,1,24-07-02,1,Epoch,1,6,1,NA,0,1,7526,0,60
plate1-H1,24-07-02 Epoch H6,H6,1,0,0,0,1,24-07-02,1,Epoch,1,6,1,NA,0,5598,8,1,11
plate1-A3,24-07-02 Epoch A2,A2,1,0,0,0,1,24-07-02,1,Epoch,1,6,1,NA,0,6843,3,0,5
plate1-B3,24-07-02 Epoch B2,B2,0,1,0,0,1,24-07-02,1,Epoch,1,6,1,NA,1,25,7068,0,75
plate1-C3,24-07-02 Epoch C2,C2,0,0,1,0,1,24-07-02,1,Epoch,1,6,1,NA,6404,2,1,0,7
plate1-D3,24-07-02 Epoch D2,D2,0,0,0,1,1,24-07-02,1,Epoch,1,6,1,NA,0,0,4,6312,5
plate1-E3,24-07-02 Epoch E2,E2,1,1,0,0,2,24-07-02,1,Epoch,1,6,1,NA,0,0,5914,0,38
plate1-F3,24-07-02 Epoch F2,F2,1,0,1,0,2,24-07-02,1,Epoch,1,6,1,NA,6,8197,3,0,14
plate1-G3,24-07-02 Epoch G2,G2,1,0,0,1,2,24-07-02,1,Epoch,1,6,1,NA,0,5192,5,85,6
plate1-H3,24-07-02 Epoch H2,H2,0,1,1,0,2,24-07-02,1,Epoch,1,6,1,NA,1,15,6952,0,65
plate1-A5,24-07-02 Epoch A3,A3,0,1,0,1,2,24-07-02,1,Epoch,1,6,1,NA,0,28,5591,0,96
plate1-B5,24-07-02 Epoch B3,B3,0,0,1,1,2,24-07-02,1,Epoch,1,6,1,NA,8503,0,1,484,22
plate1-C5,24-07-02 Epoch C3,C3,1,1,1,0,3,24-07-02,1,Epoch,1,6,1,NA,2,2,5476,0,46
plate1-D5,24-07-02 Epoch D3,D3,1,1,0,1,3,24-07-02,1,Epoch,1,6,1,NA,0,1,5903,0,40
plate1-E5,24-07-02 Epoch E3,E3,1,0,1,1,3,24-07-02,1,Epoch,1,6,1,NA,4,7561,2,60,15
plate1-F5,24-07-02 Epoch F3,F3,0,1,1,1,3,24-07-02,1,Epoch,1,6,1,NA,2,5,7104,0,47
plate1-G5,24-07-02 Epoch G3,G3,1,1,1,1,4,24-07-02,1,Epoch,1,6,1,NA,0,3,5668,0,48
plate1-H5,24-07-02 Epoch H3,H3,0,0,0,0,0,24-07-02,1,Epoch,1,6,1,NA,NA,NA,NA,NA,NA
plate1-A7,24-07-02 Epoch A4,A4,0,0,1,0,1,24-07-02,1,Epoch,1,6,1,NA,8990,0,9,0,43
plate1-B7,24-07-02 Epoch B4,B4,0,0,0,1,1,24-07-02,1,Epoch,1,6,1,NA,0,0,1,5252,5
plate1-C7,24-07-02 Epoch C4,C4,1,1,0,0,2,24-07-02,1,Epoch,1,6,1,NA,0,1,5361,0,43
plate1-D7,24-07-02 Epoch D4,D4,1,0,1,0,2,24-07-02,1,Epoch,1,6,1,NA,9,7904,4,0,19
plate1-E7,24-07-02 Epoch E4,E4,1,0,0,1,2,24-07-02,1,Epoch,1,6,1,NA,0,4463,1,122,5
plate1-F7,24-07-02 Epoch F4,F4,0,1,1,0,2,24-07-02,1,Epoch,1,6,1,NA,0,5,6445,0,57
plate1-G7,24-07-02 Epoch G4,G4,1,0,0,0,1,24-07-02,1,Epoch,1,6,1,NA,0,5008,1,0,6
plate1-H7,24-07-02 Epoch H4,H4,0,1,0,0,1,24-07-02,1,Epoch,1,6,1,NA,0,3,6729,0,92
plate1-A9,24-07-02 Epoch A5,A5,1,1,1,0,3,24-07-02,1,Epoch,1,6,1,NA,4,0,1869,0,65
plate1-B9,24-07-02 Epoch B5,B5,1,1,0,1,3,24-07-02,1,Epoch,1,6,1,NA,0,0,5225,0,38
plate1-C9,24-07-02 Epoch C5,C5,1,0,1,1,3,24-07-02,1,Epoch,1,6,1,NA,12,7970,1,48,16
plate1-D9,24-07-02 Epoch D5,D5,0,1,1,1,3,24-07-02,1,Epoch,1,6,1,NA,0,1,7239,0,58
plate1-E9,24-07-02 Epoch E5,E5,1,1,1,1,4,24-07-02,1,Epoch,1,6,1,NA,0,15,5555,1,51
plate1-F9,24-07-02 Epoch F5,F5,0,0,0,0,0,24-07-02,1,Epoch,1,6,1,NA,NA,NA,NA,NA,NA
plate1-G9,24-07-02 Epoch G5,G5,0,1,0,1,2,24-07-02,1,Epoch,1,6,1,NA,1,1,7340,0,69
plate1-H9,24-07-02 Epoch H5,H5,0,0,1,1,2,24-07-02,1,Epoch,1,6,1,NA,8411,2,0,723,19
plate1-A11,24-07-02 Epoch A7,A7,1,1,0,0,2,24-07-02,1,Epoch,1,6,1,NA,4,0,1693,0,66
plate1-B11,24-07-02 Epoch B7,B7,1,0,1,0,2,24-07-02,1,Epoch,1,6,1,NA,8,8168,0,0,13
plate1-C11,24-07-02 Epoch C7,C7,1,0,0,1,2,24-07-02,1,Epoch,1,6,1,NA,0,5458,1,86,6
plate1-D11,24-07-02 Epoch D7,D7,0,1,1,0,2,24-07-02,1,Epoch,1,6,1,NA,0,0,6747,0,53
plate1-E11,24-07-02 Epoch E7,E7,1,0,0,0,1,24-07-02,1,Epoch,1,6,1,NA,0,6110,2,0,6
plate1-F11,24-07-02 Epoch F7,F7,0,1,0,0,1,24-07-02,1,Epoch,1,6,1,NA,1,0,5899,0,78
plate1-G11,24-07-02 Epoch G7,G7,0,0,1,0,1,24-07-02,1,Epoch,1,6,1,NA,8510,0,7,0,49
plate1-H11,24-07-02 Epoch H7,H7,0,0,0,1,1,24-07-02,1,Epoch,1,6,1,NA,0,0,0,6361,4
plate1-A1,24-07-02 Epoch A6,A6,0,1,1,0,2,24-07-02,2,Epoch,1,6,NA,1,1,0,4483,0,99
plate1-B1,24-07-02 Epoch B1,B1,1,0,0,1,2,24-07-02,2,Epoch,1,6,NA,1,0,4481,4,9,10
plate1-C1,24-07-02 Epoch C1,C1,1,0,1,0,2,24-07-02,2,Epoch,1,6,NA,1,103,3575,6,0,8
plate1-D1,24-07-02 Epoch D1,D1,1,1,0,0,2,24-07-02,2,Epoch,1,6,NA,1,0,36,5511,0,86
plate1-E1,24-07-02 Epoch E1,E1,0,0,0,1,1,24-07-02,2,Epoch,1,6,NA,1,0,2,6,6850,9
plate1-F1,24-07-02 Epoch F1,F1,0,0,1,0,1,24-07-02,2,Epoch,1,6,NA,1,9821,2,1,0,10
