

Software Version	3.14.03



Experiment File Path:	C:\Users\Public\Documents\Experiments\Hermina\serial_passage\19Aug24\day3--19Aug24.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\rough_growth_curve.prt



Plate Number	Plate 1
Date	21/08/2024
Time	12:22:26
Reader Type:	Epoch 2
Reader Serial Number:	23053024
Reading Type	Reader

Procedure Details

Plate Type	96 WELL PLATE (Use plate lid)
Well Selection	Runtime
Eject plate on completion	
Set Temperature	Setpoint 30°C, Gradient 1 °C
	Preheat before moving to next step
Read	OD 600
	Absorbance Endpoint
	Full Plate
	Wavelengths:  600
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8
Start Kinetic	Runtime 24:00:00 (HH:MM:SS), Interval 0:10:00, 145 Reads
    Shake	Double Orbital: Continuous
	Frequency: 205 cpm (5 mm)
    Read	Absorbance Endpoint
	Full Plate
	Wavelengths:  600
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8
End Kinetic	

OD 600:600

0:09:16	30.1	0.2593	0.2724	0.2711	0.2676	0.2595	0.2708	0.2728	0.2603	0.2600	0.2647	0.2538	0.2597	0.2693	0.2567	0.2890	0.2641	0.3146	0.3016	0.2907	0.3054	0.2717	0.2580	0.2679	0.2570	0.2662	0.2510	0.2676	0.2651	0.2579	0.2762	0.2541	0.2606	0.2730	0.2624	0.2652	0.2765	0.2722	0.2644	0.2655	0.2756	0.2687	0.2641	0.2612	0.2589	0.2571	0.2593	0.2605	0.2527	0.2724	0.2665	0.2602	0.2529	0.2601	0.2569	0.2478	0.2663	0.2641	0.2525	0.2511	0.2495	0.2532	0.2522	0.2678	0.2562	0.2450	0.2635	0.2491	0.2487	0.2637	0.2452	0.2515	0.2633	0.2857	0.2657	0.2519	0.2650	0.2665	0.2636	0.2473	0.2538	0.2575	0.2507	0.2635	0.2710	0.2915	0.2818	0.2777	0.2878	0.2820	0.3108	0.2838	0.2789	0.2919	0.2924	0.2725	0.2668
0:19:16	30.1	0.2597	0.2722	0.2713	0.2668	0.2593	0.2709	0.2727	0.2604	0.2597	0.2648	0.2537	0.2593	0.2694	0.2566	0.2890	0.2716	0.3157	0.3241	0.2962	0.3051	0.2716	0.2579	0.2682	0.2567	0.2656	0.2512	0.2674	0.2650	0.2579	0.2954	0.2544	0.2613	0.2750	0.2624	0.2646	0.2764	0.2724	0.2643	0.2659	0.2771	0.2681	0.2628	0.2608	0.2589	0.2567	0.2597	0.2613	0.2528	0.2726	0.2665	0.2603	0.2529	0.2595	0.2558	0.2480	0.2669	0.2639	0.2524	0.2510	0.2492	0.2532	0.2525	0.2679	0.2563	0.2454	0.2635	0.2491	0.2487	0.2635	0.2454	0.2516	0.2633	0.2858	0.2658	0.2520	0.2653	0.2667	0.2634	0.2474	0.2538	0.2577	0.2505	0.2636	0.2714	0.2933	0.2816	0.2778	0.2878	0.2819	0.3109	0.2844	0.2790	0.2915	0.2919	0.2727	0.2671
0:29:16	30.1	0.2597	0.2726	0.2712	0.2668	0.2593	0.2708	0.2725	0.2602	0.2601	0.2648	0.2535	0.2588	0.2691	0.2566	0.2893	0.2731	0.3162	0.3285	0.2949	0.3061	0.2714	0.2579	0.2676	0.2568	0.2653	0.2514	0.2674	0.2651	0.2579	0.2977	0.2543	0.2607	0.2740	0.2625	0.2644	0.2763	0.2723	0.2644	0.2658	0.2759	0.2674	0.2630	0.2606	0.2586	0.2565	0.2596	0.2613	0.2527	0.2724	0.2662	0.2603	0.2529	0.2595	0.2561	0.2479	0.2670	0.2639	0.2522	0.2508	0.2493	0.2530	0.2525	0.2678	0.2562	0.2452	0.2636	0.2490	0.2486	0.2636	0.2455	0.2514	0.2635	0.2856	0.2655	0.2521	0.2651	0.2667	0.2634	0.2474	0.2537	0.2575	0.2505	0.2634	0.2706	0.2942	0.2816	0.2779	0.2877	0.2819	0.3106	0.2841	0.2789	0.2912	0.2917	0.2725	0.2670
0:39:16	30.2	0.2598	0.2722	0.2712	0.2669	0.2596	0.2710	0.2727	0.2604	0.2605	0.2649	0.2537	0.2597	0.2693	0.2567	0.2894	0.2739	0.3147	0.3284	0.2944	0.3062	0.2717	0.2578	0.2675	0.2567	0.2655	0.2514	0.2674	0.2651	0.2580	0.3001	0.2545	0.2611	0.2759	0.2625	0.2645	0.2764	0.2724	0.2643	0.2660	0.2772	0.2676	0.2628	0.2606	0.2589	0.2567	0.2597	0.2614	0.2530	0.2726	0.2662	0.2604	0.2527	0.2593	0.2548	0.2480	0.2672	0.2636	0.2522	0.2508	0.2495	0.2531	0.2527	0.2680	0.2562	0.2455	0.2636	0.2489	0.2487	0.2637	0.2455	0.2514	0.2635	0.2857	0.2656	0.2522	0.2652	0.2668	0.2634	0.2475	0.2538	0.2576	0.2504	0.2633	0.2709	0.2881	0.2816	0.2780	0.2878	0.2818	0.3104	0.2833	0.2790	0.2912	0.2919	0.2726	0.2672
0:49:16	30.1	0.2596	0.2724	0.2715	0.2667	0.2595	0.2710	0.2726	0.2602	0.2609	0.2648	0.2533	0.2588	0.2690	0.2566	0.2893	0.2738	0.3156	0.3282	0.2946	0.3041	0.2712	0.2574	0.2681	0.2565	0.2655	0.2510	0.2671	0.2647	0.2577	0.3021	0.2543	0.2610	0.2756	0.2623	0.2643	0.2763	0.2721	0.2641	0.2659	0.2770	0.2669	0.2620	0.2600	0.2583	0.2564	0.2595	0.2612	0.2530	0.2723	0.2660	0.2600	0.2525	0.2590	0.2561	0.2477	0.2669	0.2631	0.2520	0.2505	0.2491	0.2530	0.2523	0.2676	0.2562	0.2449	0.2633	0.2486	0.2485	0.2636	0.2453	0.2512	0.2633	0.2854	0.2653	0.2519	0.2648	0.2666	0.2632	0.2470	0.2534	0.2574	0.2501	0.2631	0.2703	0.2940	0.2813	0.2777	0.2875	0.2814	0.3098	0.2820	0.2788	0.2910	0.2915	0.2725	0.2670
0:59:16	30.1	0.2598	0.2729	0.2714	0.2670	0.2595	0.2714	0.2728	0.2602	0.2611	0.2650	0.2534	0.2594	0.2691	0.2567	0.2897	0.2745	0.3162	0.3269	0.2950	0.3039	0.2717	0.2578	0.2680	0.2565	0.2655	0.2513	0.2672	0.2651	0.2578	0.3057	0.2544	0.2608	0.2755	0.2625	0.2643	0.2765	0.2721	0.2642	0.2659	0.2777	0.2673	0.2621	0.2601	0.2586	0.2566	0.2595	0.2614	0.2537	0.2723	0.2662	0.2603	0.2524	0.2591	0.2562	0.2479	0.2671	0.2635	0.2521	0.2505	0.2494	0.2530	0.2525	0.2678	0.2562	0.2450	0.2636	0.2489	0.2486	0.2637	0.2455	0.2513	0.2637	0.2858	0.2655	0.2522	0.2651	0.2669	0.2632	0.2472	0.2536	0.2577	0.2502	0.2632	0.2705	0.2927	0.2816	0.2780	0.2876	0.2817	0.3101	0.2859	0.2789	0.2910	0.2917	0.2725	0.2672
1:09:16	30.1	0.2596	0.2729	0.2715	0.2669	0.2596	0.2711	0.2726	0.2602	0.2610	0.2649	0.2532	0.2584	0.2690	0.2567	0.2896	0.2749	0.3156	0.3337	0.2950	0.3039	0.2716	0.2578	0.2683	0.2566	0.2656	0.2517	0.2671	0.2649	0.2578	0.3085	0.2544	0.2610	0.2769	0.2625	0.2643	0.2766	0.2722	0.2642	0.2656	0.2773	0.2671	0.2633	0.2604	0.2588	0.2564	0.2596	0.2609	0.2543	0.2723	0.2660	0.2601	0.2524	0.2590	0.2555	0.2478	0.2672	0.2628	0.2520	0.2505	0.2496	0.2530	0.2523	0.2679	0.2561	0.2453	0.2636	0.2489	0.2487	0.2634	0.2455	0.2512	0.2637	0.2854	0.2654	0.2522	0.2649	0.2666	0.2631	0.2472	0.2536	0.2578	0.2501	0.2630	0.2798	0.2904	0.2815	0.2778	0.2876	0.2812	0.3100	0.2864	0.2787	0.2908	0.2914	0.2727	0.2670
1:19:16	30.1	0.2596	0.2730	0.2713	0.2672	0.2594	0.2711	0.2728	0.2603	0.2612	0.2652	0.2534	0.2598	0.2692	0.2567	0.2899	0.2747	0.3163	0.3317	0.2962	0.3039	0.2718	0.2576	0.2679	0.2568	0.2652	0.2514	0.2672	0.2649	0.2578	0.3127	0.2546	0.2613	0.2755	0.2626	0.2640	0.2769	0.2724	0.2642	0.2659	0.2773	0.2674	0.2613	0.2605	0.2584	0.2567	0.2594	0.2615	0.2550	0.2723	0.2662	0.2601	0.2525	0.2590	0.2558	0.2479	0.2673	0.2632	0.2520	0.2505	0.2496	0.2529	0.2523	0.2678	0.2562	0.2451	0.2635	0.2490	0.2487	0.2634	0.2454	0.2512	0.2640	0.2858	0.2654	0.2524	0.2649	0.2671	0.2631	0.2472	0.2536	0.2577	0.2501	0.2632	0.2706	0.2935	0.2817	0.2780	0.2878	0.2817	0.3100	0.2859	0.2788	0.2910	0.2917	0.2728	0.2671
1:29:16	30.2	0.2595	0.2719	0.2719	0.2670	0.2614	0.2724	0.2728	0.2599	0.2614	0.2653	0.2534	0.2590	0.2690	0.2568	0.2900	0.2750	0.3166	0.3295	0.2953	0.3034	0.2715	0.2575	0.2679	0.2568	0.2653	0.2512	0.2670	0.2649	0.2577	0.3111	0.2543	0.2605	0.2747	0.2626	0.2639	0.2774	0.2724	0.2639	0.2659	0.2768	0.2675	0.2627	0.2603	0.2580	0.2563	0.2592	0.2615	0.2558	0.2722	0.2661	0.2601	0.2520	0.2589	0.2555	0.2476	0.2673	0.2629	0.2520	0.2503	0.2495	0.2528	0.2521	0.2678	0.2562	0.2450	0.2633	0.2490	0.2486	0.2633	0.2453	0.2511	0.2639	0.2858	0.2653	0.2522	0.2646	0.2670	0.2630	0.2472	0.2533	0.2576	0.2499	0.2630	0.2704	0.2920	0.2817	0.2776	0.2876	0.2815	0.3095	0.2858	0.2786	0.2908	0.2917	0.2726	0.2670
1:39:16	30.2	0.2597	0.2739	0.2719	0.2667	0.2596	0.2731	0.2732	0.2608	0.2620	0.2654	0.2535	0.2597	0.2691	0.2567	0.2903	0.2761	0.3162	0.3332	0.2961	0.3041	0.2719	0.2576	0.2682	0.2570	0.2656	0.2513	0.2672	0.2650	0.2577	0.3121	0.2544	0.2611	0.2750	0.2628	0.2641	0.2775	0.2724	0.2641	0.2660	0.2768	0.2676	0.2622	0.2604	0.2582	0.2568	0.2595	0.2614	0.2569	0.2724	0.2673	0.2603	0.2524	0.2591	0.2554	0.2478	0.2674	0.2629	0.2522	0.2503	0.2498	0.2530	0.2523	0.2679	0.2563	0.2452	0.2635	0.2490	0.2488	0.2635	0.2454	0.2512	0.2641	0.2860	0.2654	0.2524	0.2650	0.2672	0.2630	0.2471	0.2533	0.2578	0.2500	0.2632	0.2706	0.2904	0.2820	0.2778	0.2878	0.2815	0.3098	0.2835	0.2787	0.2910	0.2924	0.2732	0.2672
