

Software Version	3.14.03



Experiment File Path:	C:\Users\Public\Documents\Experiments\Hermina\serial_passage\2July24\day3--2July24.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\rough_growth_curve.prt



Plate Number	Plate 1
Date	04/07/2024
Time	11:55:18
Reader Type:	Epoch 2
Reader Serial Number:	23053024
Reading Type	Reader

Procedure Details

Plate Type	96 WELL PLATE (Use plate lid)
Well Selection	Runtime
Eject plate on completion	
Read	OD 600
	Absorbance Endpoint
	Full Plate
	Wavelengths:  600
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8
Set Temperature	Setpoint 30°C, Gradient 1 °C
Start Kinetic	Runtime 23:00:00 (HH:MM:SS), Interval 0:10:00, 139 Reads
    Shake	Double Orbital: Continuous
	Frequency: 205 cpm (5 mm)
    Read	Absorbance Endpoint
	Full Plate
	Wavelengths:  600
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8
End Kinetic	

OD 600:600

0:09:16	30.1	0.2731	0.3019	0.3090	0.3068	0.2790	0.2749	0.2866	0.3041	0.2852	0.2807	0.2744	0.2709	0.2855	0.2807	0.3146	0.3073	0.2761	0.2602	0.3062	0.2943	0.2665	0.2613	0.2578	0.2834	0.2987	0.2964	0.2961	0.2696	0.2929	0.2960	0.2969	0.2767	0.2959	0.2786	0.2768	0.3094	0.2831	0.3021	0.2874	0.2923	0.2765	0.2581	0.2885	0.2604	0.2708	0.3097	0.2646	0.3054	0.2974	0.2840	0.2967	0.2822	0.2870	0.2688	0.3050	0.2961	0.2976	0.2827	0.2576	0.2859	0.2962	0.3027	0.3006	0.2959	0.2640	0.2718	0.2816	0.3063	0.3006	0.2823	0.2621	0.2896	0.2902	0.3056	0.2780	0.2881	0.2843	0.2574	0.3134	0.2840	0.2913	0.3070	0.2695	0.3153	0.2768	0.2975	0.2775	0.3227	0.3422	0.3122	0.3257	0.3198	0.3492	0.3154	0.3397	0.3210
0:19:16	30.1	0.2728	0.3022	0.3075	0.3068	0.2793	0.2752	0.2887	0.3016	0.2818	0.2825	0.2752	0.2709	0.2862	0.2860	0.3199	0.3071	0.2805	0.2602	0.3085	0.2963	0.2701	0.2611	0.2569	0.2887	0.2991	0.2974	0.2989	0.2741	0.2936	0.2667	0.2984	0.2760	0.3012	0.2800	0.2765	0.3097	0.2884	0.3059	0.2914	0.2941	0.2814	0.2579	0.2936	0.2604	0.2736	0.3109	0.2644	0.3056	0.3006	0.2890	0.2969	0.2829	0.2932	0.2685	0.3045	0.3009	0.2979	0.2849	0.2573	0.2889	0.2959	0.3017	0.3018	0.3019	0.2640	0.2719	0.2842	0.3082	0.3034	0.2839	0.2620	0.2904	0.2926	0.3000	0.2797	0.2887	0.2848	0.2574	0.3150	0.2879	0.2928	0.3081	0.2691	0.3151	0.2765	0.2972	0.2773	0.3255	0.3440	0.3128	0.3325	0.3191	0.3500	0.3146	0.3405	0.3206
0:29:16	30.1	0.2726	0.3015	0.3103	0.3092	0.2821	0.2772	0.2927	0.2977	0.2817	0.2838	0.2759	0.2712	0.2866	0.2863	0.3226	0.3078	0.2844	0.2602	0.3098	0.3006	0.2743	0.2609	0.2565	0.2940	0.3002	0.2999	0.3023	0.2769	0.2946	0.2685	0.3002	0.2773	0.3033	0.2829	0.2766	0.3124	0.2910	0.3044	0.2942	0.2964	0.2835	0.2577	0.2962	0.2603	0.2771	0.3136	0.2643	0.3066	0.3068	0.2905	0.2975	0.2843	0.2965	0.2682	0.3065	0.3040	0.3002	0.2886	0.2572	0.2917	0.2975	0.3037	0.3071	0.3038	0.2640	0.2720	0.2864	0.3100	0.3036	0.2855	0.2620	0.2925	0.2968	0.3003	0.2831	0.2902	0.2894	0.2574	0.3176	0.2900	0.2959	0.3097	0.2686	0.3154	0.2764	0.3012	0.2772	0.3296	0.3466	0.3143	0.3272	0.3231	0.3501	0.3163	0.3420	0.3211
0:39:16	30.1	0.2726	0.3007	0.3156	0.3122	0.2856	0.2809	0.2966	0.2956	0.2897	0.2871	0.2764	0.2713	0.2876	0.2886	0.3269	0.3147	0.2860	0.2601	0.3154	0.3047	0.2784	0.2608	0.2564	0.2974	0.2994	0.3031	0.3062	0.2807	0.2969	0.2712	0.3036	0.2791	0.3061	0.2867	0.2764	0.3170	0.2939	0.3106	0.2964	0.3018	0.2873	0.2578	0.2989	0.2601	0.2816	0.3171	0.2643	0.3090	0.3113	0.2939	0.2996	0.2886	0.2978	0.2683	0.3102	0.3070	0.3030	0.2937	0.2571	0.2951	0.3016	0.3066	0.3117	0.3065	0.2639	0.2720	0.2897	0.3127	0.3083	0.2855	0.2619	0.2972	0.3003	0.3052	0.2852	0.2937	0.2931	0.2574	0.3206	0.2945	0.2976	0.3132	0.2680	0.3165	0.2763	0.3057	0.2772	0.3330	0.3491	0.3165	0.3320	0.3275	0.3523	0.3187	0.3454	0.3219
0:49:16	30.2	0.2724	0.3033	0.3192	0.3151	0.2879	0.2836	0.2990	0.2966	0.2843	0.2904	0.2770	0.2713	0.2904	0.2903	0.3327	0.3250	0.2877	0.2598	0.3222	0.3068	0.2801	0.2608	0.2562	0.2999	0.3025	0.3077	0.3069	0.2817	0.3007	0.2706	0.3087	0.2820	0.3105	0.2891	0.2762	0.3184	0.2925	0.3206	0.2966	0.3073	0.2869	0.2576	0.3018	0.2600	0.2823	0.3217	0.2642	0.3144	0.3207	0.2952	0.3037	0.2941	0.2984	0.2682	0.3154	0.3091	0.3040	0.2953	0.2570	0.2986	0.3061	0.3113	0.3129	0.3080	0.2638	0.2719	0.2921	0.3160	0.3096	0.2898	0.2619	0.3001	0.3020	0.3116	0.2861	0.3004	0.2942	0.2572	0.3266	0.2970	0.3014	0.3179	0.2676	0.3178	0.2761	0.3056	0.2771	0.3339	0.3523	0.3214	0.3430	0.3280	0.3571	0.3225	0.3487	0.3230
0:59:15	30.2	0.2724	0.3086	0.3208	0.3187	0.2896	0.2860	0.3007	0.3004	0.2895	0.2929	0.2784	0.2713	0.2954	0.2946	0.3353	0.3395	0.2891	0.2599	0.3328	0.3112	0.2824	0.2607	0.2563	0.3026	0.3055	0.3122	0.3078	0.2819	0.3073	0.2745	0.3157	0.2842	0.3164	0.2909	0.2763	0.3210	0.2966	0.3293	0.2976	0.3178	0.2889	0.2575	0.3041	0.2600	0.2855	0.3268	0.2642	0.3209	0.3244	0.2956	0.3117	0.3003	0.2999	0.2680	0.3212	0.3120	0.3085	0.2976	0.2568	0.3006	0.3125	0.3177	0.3152	0.3108	0.2639	0.2719	0.2957	0.3204	0.3173	0.2919	0.2618	0.3025	0.3042	0.3204	0.2885	0.3082	0.2964	0.2573	0.3319	0.2994	0.3036	0.3244	0.2676	0.3197	0.2762	0.3078	0.2771	0.3367	0.3554	0.3276	0.3473	0.3319	0.3620	0.3250	0.3512	0.3241
1:09:16	30.2	0.2723	0.3163	0.3231	0.3222	0.2908	0.2875	0.3010	0.3078	0.2954	0.2951	0.2786	0.2722	0.3013	0.2937	0.3494	0.3538	0.2903	0.2598	0.3452	0.3125	0.2836	0.2606	0.2562	0.3054	0.3116	0.3176	0.3094	0.2835	0.3157	0.2724	0.3253	0.2854	0.3251	0.2919	0.2763	0.3232	0.2983	0.3454	0.2984	0.3289	0.2904	0.2576	0.3070	0.2596	0.2872	0.3329	0.2642	0.3302	0.3362	0.3007	0.3231	0.3065	0.3013	0.2681	0.3288	0.3136	0.3124	0.2995	0.2570	0.3026	0.3174	0.3288	0.3160	0.3114	0.2637	0.2718	0.2980	0.3244	0.3255	0.2947	0.2617	0.3044	0.3062	0.3320	0.2886	0.3198	0.2978	0.2573	0.3389	0.3019	0.3054	0.3327	0.2673	0.3215	0.2761	0.3114	0.2771	0.3378	0.3588	0.3353	0.3569	0.3346	0.3712	0.3269	0.3525	0.3248
1:19:15	30.2	0.2722	0.3253	0.3241	0.3274	0.2926	0.2886	0.3026	0.3094	0.3015	0.2967	0.2784	0.2736	0.3102	0.2990	0.3497	0.3689	0.2911	0.2598	0.3776	0.3161	0.2863	0.2605	0.2561	0.3083	0.3179	0.3234	0.3096	0.2851	0.3259	0.2731	0.3380	0.2866	0.3369	0.2936	0.2761	0.3247	0.2959	0.3604	0.3009	0.3455	0.2917	0.2574	0.3072	0.2597	0.2895	0.3391	0.2641	0.3421	0.3491	0.3028	0.3356	0.3173	0.3048	0.2679	0.3413	0.3186	0.3164	0.3012	0.2566	0.3044	0.3231	0.3417	0.3182	0.3129	0.2637	0.2718	0.3014	0.3289	0.3352	0.2960	0.2618	0.3068	0.3059	0.3443	0.2920	0.3327	0.3031	0.2570	0.3454	0.3060	0.3072	0.3464	0.2673	0.3250	0.2761	0.3126	0.2770	0.3409	0.3642	0.3467	0.3665	0.3351	0.3848	0.3289	0.3549	0.3262
1:29:16	30.2	0.2723	0.3358	0.3245	0.3343	0.2934	0.2897	0.3039	0.3175	0.3104	0.2982	0.2774	0.2750	0.3213	0.3024	0.3615	0.3752	0.2933	0.2599	0.3967	0.3193	0.2877	0.2606	0.2562	0.3108	0.3257	0.3295	0.3069	0.2871	0.3399	0.2793	0.3542	0.2873	0.3524	0.2951	0.2762	0.3263	0.3005	0.3671	0.2986	0.3640	0.2948	0.2576	0.3112	0.2598	0.2919	0.3464	0.2641	0.3577	0.3598	0.3055	0.3511	0.3302	0.3050	0.2680	0.3584	0.3206	0.3245	0.3056	0.2568	0.3069	0.3308	0.3545	0.3179	0.3189	0.2637	0.2718	0.3040	0.3338	0.3417	0.2978	0.2618	0.3095	0.3108	0.3571	0.2911	0.3475	0.3061	0.2571	0.3541	0.3093	0.3091	0.3631	0.2672	0.3291	0.2759	0.3155	0.2771	0.3430	0.3695	0.3583	0.3836	0.3384	0.4007	0.3303	0.3566	0.3278
1:39:16	30.2	0.2722	0.3483	0.3241	0.3403	0.2933	0.2901	0.3047	0.3259	0.3256	0.2983	0.2777	0.2767	0.3366	0.3057	0.3676	0.3894	0.2945	0.2597	0.4213	0.3186	0.2899	0.2603	0.2561	0.3127	0.3357	0.3364	0.3078	0.2873	0.3557	0.2748	0.3732	0.2885	0.3708	0.2950	0.2759	0.3263	0.3009	0.3836	0.3028	0.3877	0.2977	0.2576	0.3154	0.2596	0.2927	0.3531	0.2640	0.3789	0.3725	0.3072	0.3672	0.3516	0.3105	0.2679	0.3808	0.3229	0.3310	0.3087	0.2567	0.3081	0.3380	0.3727	0.3208	0.3232	0.2636	0.2717	0.3076	0.3413	0.3533	0.2999	0.2616	0.3111	0.3125	0.3765	0.2936	0.3730	0.3082	0.2571	0.3609	0.3099	0.3121	0.3827	0.2670	0.3332	0.2758	0.3145	0.2767	0.3479	0.3754	0.3753	0.3943	0.3400	0.4182	0.3310	0.3566	0.3297
