Plate,Experiment,Group,Filename,Sample,Workspace,Compensation Source,Plot Title,Gate,Autogate Status,X Parameter,Y Parameter,Count,Volume,Concentration,%Total,%Gated,X Mean,Y Mean,X Median,Y Median,X Peak,Y Peak,X SD,Y SD,X %CV,Y %CV,X rSD,Y rSD,X %rCV,Y %rCV
24-08-05 Day3 -- Epoch.plate2,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,None,N/A,All Events,N/A,N/A,N/A,152660,45,3392.444,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
24-08-05 Day3 -- Epoch.plate2,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,None,,cells,N/A,FSC-A,SSC-A,10000,45,222.222,6.551,6.551,14328,2643,10488,1444,10004,537,20939.65,12835.32,146.14,485.72,5930.40,1338.79,56.54,92.71
24-08-05 Day3 -- Epoch.plate2,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,None,,veroniiHIST,N/A,YL2-H,N/A,0,45,0.000,0.000,0.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
24-08-05 Day3 -- Epoch.plate2,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,None,,cells,N/A,YL2-H,N/A,10000,45,222.222,6.551,6.551,166,N/A,143,N/A,108,N/A,288.81,N/A,174.02,N/A,99.35,N/A,69.33,N/A
24-08-05 Day3 -- Epoch.plate2,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,None,,protegHIST,N/A,VL2-H,N/A,4915,45,109.222,3.220,49.150,37059,N/A,31178,N/A,36239,N/A,35390.67,N/A,95.50,N/A,11047.93,N/A,35.44,N/A
24-08-05 Day3 -- Epoch.plate2,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,None,,cells,N/A,VL2-H,N/A,10000,45,222.222,6.551,6.551,20998,N/A,8814,N/A,2720,N/A,39552.73,N/A,188.36,N/A,11410.65,N/A,129.46,N/A
24-08-05 Day3 -- Epoch.plate2,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,None,,veronniiQUADRANT,N/A,YL2-A,VL2-A,3,45,0.067,0.002,0.030,451,780,448,771,467,1072,14.50,288.09,3.21,36.95,13.47,408.90,3.01,53.00
24-08-05 Day3 -- Epoch.plate2,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,None,,protegensQUADRANT,N/A,YL2-A,VL2-A,3342,45,74.267,2.189,33.420,125,26034,84,20872,75,24989,317.12,44399.19,253.86,170.55,77.07,20924.50,91.76,100.25
24-08-05 Day3 -- Epoch.plate2,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,None,,cells,N/A,YL2-A,VL2-A,10000,45,222.222,6.551,6.551,21,18964,-2,7729,173,46781,333.27,43402.13,1603.77,228.87,111.72,13067.31,6041.05,169.08
24-08-05 Day3 -- Epoch.plate2,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,None,,grimHIST,N/A,BL1-H,N/A,7,45,0.156,0.005,0.070,9747,N/A,5425,N/A,5425,N/A,7481.12,N/A,76.76,N/A,1821.85,N/A,33.58,N/A
24-08-05 Day3 -- Epoch.plate2,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,None,,cells,N/A,BL1-H,N/A,10000,45,222.222,6.551,6.551,376,N/A,342,N/A,757,N/A,401.09,N/A,106.55,N/A,233.07,N/A,68.20,N/A
24-08-05 Day3 -- Epoch.plate2,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,None,,putidaHIST,N/A,BL2-H,N/A,5,45,0.111,0.003,0.050,9912,N/A,6798,N/A,5264,N/A,6273.68,N/A,63.30,N/A,2560.69,N/A,37.67,N/A
24-08-05 Day3 -- Epoch.plate2,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,None,,cells,N/A,BL2-H,N/A,10000,45,222.222,6.551,6.551,88,N/A,78,N/A,32,N/A,266.28,N/A,303.40,N/A,70.47,N/A,90.54,N/A
