Plate,Experiment,Group,Filename,Sample,Workspace,Compensation Source,Plot Title,Gate,Autogate Status,X Parameter,Y Parameter,Count,Volume,Concentration,%Total,%Gated,X Mean,Y Mean,X Median,Y Median,X Peak,Y Peak,X SD,Y SD,X %CV,Y %CV,X rSD,Y rSD,X %rCV,Y %rCV
24-07-08 Day1 -- Epoch.plate2,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,Experiment,N/A,All Events,N/A,N/A,N/A,23162,38,609.526,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
24-07-08 Day1 -- Epoch.plate2,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,Experiment,,cells,N/A,FSC-A,SSC-A,10000,38,263.158,43.174,43.174,19364,5808,16767,3959,10277,2322,19658.67,10448.53,101.52,179.90,6327.74,4123.85,37.74,104.18
24-07-08 Day1 -- Epoch.plate2,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,Experiment,,veroniiHIST,N/A,YL2-H,N/A,2,38,0.053,0.009,0.020,65487,N/A,65487,N/A,28663,N/A,52078.05,N/A,79.52,N/A,54596.36,N/A,83.37,N/A
24-07-08 Day1 -- Epoch.plate2,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,Experiment,,cells,N/A,YL2-H,N/A,10000,38,263.158,43.174,43.174,196,N/A,161,N/A,99,N/A,1084.42,N/A,551.96,N/A,107.63,N/A,66.88,N/A
24-07-08 Day1 -- Epoch.plate2,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,Experiment,,protegHIST,N/A,VL2-H,N/A,6035,38,158.816,26.056,60.350,36592,N/A,33246,N/A,54256,N/A,19624.92,N/A,53.63,N/A,14039.59,N/A,42.23,N/A
24-07-08 Day1 -- Epoch.plate2,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,Experiment,,cells,N/A,VL2-H,N/A,10000,38,263.158,43.174,43.174,24790,N/A,21782,N/A,10662,N/A,25447.90,N/A,102.66,N/A,21783.32,N/A,100.00,N/A
24-07-08 Day1 -- Epoch.plate2,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,Experiment,,veronniiQUADRANT,N/A,YL2-A,VL2-A,1,38,0.026,0.004,0.010,460,1195,460,1195,460,1195,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
24-07-08 Day1 -- Epoch.plate2,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,Experiment,,protegensQUADRANT,N/A,YL2-A,VL2-A,5624,38,148.000,24.281,56.240,146,32231,109,28185,25,61787,414.43,28143.06,283.60,87.32,99.95,24382.02,92.08,86.51
24-07-08 Day1 -- Epoch.plate2,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,Experiment,,cells,N/A,YL2-A,VL2-A,10000,38,263.158,43.174,43.174,73,28993,31,25303,87,56580,1429.77,29996.80,1950.33,103.46,128.89,23975.10,413.01,94.75
24-07-08 Day1 -- Epoch.plate2,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,Experiment,,grimHIST,N/A,BL1-H,N/A,3,38,0.079,0.013,0.030,8359,N/A,5672,N/A,4715,N/A,5504.00,N/A,65.85,N/A,1419.01,N/A,25.02,N/A
24-07-08 Day1 -- Epoch.plate2,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,Experiment,,cells,N/A,BL1-H,N/A,10000,38,263.158,43.174,43.174,408,N/A,367,N/A,-669,N/A,321.17,N/A,78.66,N/A,253.90,N/A,69.27,N/A
24-07-08 Day1 -- Epoch.plate2,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,Experiment,,putidaHIST,N/A,BL2-H,N/A,11,38,0.289,0.047,0.110,13407,N/A,11485,N/A,6930,N/A,8159.51,N/A,60.86,N/A,10233.03,N/A,89.10,N/A
24-07-08 Day1 -- Epoch.plate2,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,Experiment,,cells,N/A,BL2-H,N/A,10000,38,263.158,43.174,43.174,120,N/A,99,N/A,77,N/A,518.37,N/A,430.77,N/A,79.18,N/A,79.80,N/A
24-07-08 Day1 -- Epoch.plate2,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,Experiment,,putidaQUADRANT,N/A,YL2-A,BL2-A,9,38,0.237,0.039,0.090,3065,15207,58,12549,215,29868,6928.86,9125.50,226.06,60.01,231.80,8997.76,396.91,71.70
24-07-08 Day1 -- Epoch.plate2,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,Experiment,,cells,N/A,YL2-A,BL2-A,10000,38,263.158,43.174,43.174,73,111,31,86,87,182,1429.77,624.17,1950.33,561.45,128.89,104.83,413.01,121.80
24-07-08 Day1 -- Epoch.plate2,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,Experiment,,cells,N/A,Time,FSC-A,10000,38,263.158,43.174,43.174,50888,19364,52145,16767,52145,10277,24233.58,19658.67,47.62,101.52,30534.89,6327.74,58.56,37.74
24-07-08 Day1 -- Epoch.plate2,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,Experiment,,R1,N/A,YL2-A,BL1-A,3,38,0.079,0.013,0.030,2765,11805,1170,4590,1170,4590,3974.68,12826.25,143.75,108.65,1979.86,559.66,169.15,12.19
24-07-08 Day1 -- Epoch.plate2,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,Experiment,,cells,N/A,YL2-A,BL1-A,10000,38,263.158,43.174,43.174,73,178,31,147,87,514,1429.77,432.28,1950.33,242.39,128.89,321.82,413.01,219.62
24-07-08 Day1 -- Epoch.plate2,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,Experiment,,R2,N/A,BL1-A,BL2-A,10,38,0.263,0.043,0.100,642,16902,221,13533,-397,7032,1424.56,9983.11,221.91,59.07,776.06,10840.08,350.96,80.10
24-07-08 Day1 -- Epoch.plate2,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,Experiment,,cells,N/A,BL1-A,BL2-A,10000,38,263.158,43.174,43.174,178,111,147,86,514,182,432.28,624.17,242.39,561.45,321.82,104.83,219.62,121.80
24-07-08 Day1 -- Epoch.plate2,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,Experiment,,cells,N/A,VL2-A,BL2-A,10000,38,263.158,43.174,43.174,28993,111,25303,86,56580,182,29996.80,624.17,103.46,561.45,23975.10,104.83,94.75,121.80
24-07-08 Day1 -- Epoch.plate2,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,Experiment,,cells,N/A,VL2-A,BL1-A,10000,38,263.158,43.174,43.174,28993,178,25303,147,56580,514,29996.80,432.28,103.46,242.39,23975.10,321.82,94.75,219.62
24-07-08 Day1 -- Epoch.plate2,Experiment,10^-2 dilution,B1.fcs,B1,Experiment,Experiment,N/A,All Events,N/A,N/A,N/A,11325,24,471.875,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
24-07-08 Day1 -- Epoch.plate2,Experiment,10^-2 dilution,B1.fcs,B1,Experiment,Experiment,,cells,N/A,FSC-A,SSC-A,10000,24,416.667,88.300,88.300,17891,4007,15291,3184,15300,3897,15487.68,7700.30,86.57,192.19,5295.85,2507.82,34.63,78.76
24-07-08 Day1 -- Epoch.plate2,Experiment,10^-2 dilution,B1.fcs,B1,Experiment,Experiment,,veroniiHIST,N/A,YL2-H,N/A,5,24,0.208,0.044,0.050,139350,N/A,120254,N/A,224631,N/A,72794.97,N/A,52.24,N/A,79918.97,N/A,66.46,N/A
24-07-08 Day1 -- Epoch.plate2,Experiment,10^-2 dilution,B1.fcs,B1,Experiment,Experiment,,cells,N/A,YL2-H,N/A,10000,24,416.667,88.300,88.300,221,N/A,135,N/A,244,N/A,3437.56,N/A,1553.08,N/A,98.58,N/A,72.86,N/A
24-07-08 Day1 -- Epoch.plate2,Experiment,10^-2 dilution,B1.fcs,B1,Experiment,Experiment,,protegHIST,N/A,VL2-H,N/A,83,24,3.458,0.733,0.830,15418,N/A,11474,N/A,12871,N/A,20524.68,N/A,133.12,N/A,1112.04,N/A,9.69,N/A
24-07-08 Day1 -- Epoch.plate2,Experiment,10^-2 dilution,B1.fcs,B1,Experiment,Experiment,,cells,N/A,VL2-H,N/A,10000,24,416.667,88.300,88.300,1573,N/A,3003,N/A,2592,N/A,12052.85,N/A,766.10,N/A,3352.57,N/A,111.63,N/A
24-07-08 Day1 -- Epoch.plate2,Experiment,10^-2 dilution,B1.fcs,B1,Experiment,Experiment,,veronniiQUADRANT,N/A,YL2-A,VL2-A,4,24,0.167,0.035,0.040,18869,900,494,907,511,729,36774.06,240.92,194.89,26.78,40.25,295.43,8.14,32.58
24-07-08 Day1 -- Epoch.plate2,Experiment,10^-2 dilution,B1.fcs,B1,Experiment,Experiment,,protegensQUADRANT,N/A,YL2-A,VL2-A,2543,24,105.958,22.455,25.430,127,7446,101,6259,405,2449,125.05,6220.95,98.48,83.54,90.44,3389.83,89.90,54.16
24-07-08 Day1 -- Epoch.plate2,Experiment,10^-2 dilution,B1.fcs,B1,Experiment,Experiment,,cells,N/A,YL2-A,VL2-A,10000,24,416.667,88.300,88.300,100,1643,1,2113,-2,-1052,4037.65,13354.99,4047.56,812.75,112.64,5364.86,9859.45,253.94
24-07-08 Day1 -- Epoch.plate2,Experiment,10^-2 dilution,B1.fcs,B1,Experiment,Experiment,,grimHIST,N/A,BL1-H,N/A,1092,24,45.500,9.642,10.920,18562,N/A,14386,N/A,14459,N/A,32591.81,N/A,175.59,N/A,4410.45,N/A,30.66,N/A
24-07-08 Day1 -- Epoch.plate2,Experiment,10^-2 dilution,B1.fcs,B1,Experiment,Experiment,,cells,N/A,BL1-H,N/A,10000,24,416.667,88.300,88.300,2429,N/A,492,N/A,227,N/A,12178.41,N/A,501.31,N/A,608.13,N/A,123.51,N/A
24-07-08 Day1 -- Epoch.plate2,Experiment,10^-2 dilution,B1.fcs,B1,Experiment,Experiment,,putidaHIST,N/A,BL2-H,N/A,4947,24,206.125,43.682,49.470,9355,N/A,8792,N/A,8773,N/A,3436.42,N/A,36.73,N/A,2766.05,N/A,31.46,N/A
