Plate,Experiment,Group,Filename,Sample,Workspace,Compensation Source,Plot Title,Gate,Autogate Status,X Parameter,Y Parameter,Count,Volume,Concentration,%Total,%Gated,X Mean,Y Mean,X Median,Y Median,X Peak,Y Peak,X SD,Y SD,X %CV,Y %CV,X rSD,Y rSD,X %rCV,Y %rCV
24-07-08 Day1 -- H1.plate2,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,Experiment,N/A,All Events,N/A,N/A,N/A,20583,32,643.219,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
24-07-08 Day1 -- H1.plate2,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,Experiment,,cells,N/A,FSC-A,SSC-A,10000,32,312.500,48.584,48.584,15039,5143,13559,4355,15414,7754,8887.00,4810.62,59.09,93.53,4264.70,3134.96,31.45,71.99
24-07-08 Day1 -- H1.plate2,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,Experiment,,veroniiHIST,N/A,YL2-H,N/A,0,32,0.000,0.000,0.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
24-07-08 Day1 -- H1.plate2,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,Experiment,,cells,N/A,YL2-H,N/A,10000,32,312.500,48.584,48.584,196,N/A,167,N/A,33,N/A,165.36,N/A,84.16,N/A,117.69,N/A,70.63,N/A
24-07-08 Day1 -- H1.plate2,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,Experiment,,protegHIST,N/A,VL2-H,N/A,8305,32,259.531,40.349,83.050,46081,N/A,41074,N/A,47631,N/A,18282.30,N/A,39.67,N/A,12213.27,N/A,29.73,N/A
24-07-08 Day1 -- H1.plate2,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,Experiment,,cells,N/A,VL2-H,N/A,10000,32,312.500,48.584,48.584,39038,N/A,38138,N/A,34199,N/A,22832.69,N/A,58.49,N/A,14837.82,N/A,38.91,N/A
24-07-08 Day1 -- H1.plate2,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,Experiment,,veronniiQUADRANT,N/A,YL2-A,VL2-A,9,32,0.281,0.044,0.090,626,576,571,461,752,1299,196.19,379.88,31.35,65.96,112.22,262.86,19.66,57.01
24-07-08 Day1 -- H1.plate2,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,Experiment,,protegensQUADRANT,N/A,YL2-A,VL2-A,5629,32,175.906,27.348,56.290,163,43743,118,40505,376,55585,176.10,25345.56,108.24,57.94,111.47,15221.70,94.17,37.58
24-07-08 Day1 -- H1.plate2,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,Experiment,,cells,N/A,YL2-A,VL2-A,10000,32,312.500,48.584,48.584,68,41278,35,39699,18,46603,183.33,25447.86,268.88,61.65,140.52,15544.94,397.79,39.16
24-07-08 Day1 -- H1.plate2,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,Experiment,,grimHIST,N/A,BL1-H,N/A,0,32,0.000,0.000,0.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
24-07-08 Day1 -- H1.plate2,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,Experiment,,cells,N/A,BL1-H,N/A,10000,32,312.500,48.584,48.584,445,N/A,403,N/A,579,N/A,309.89,N/A,69.63,N/A,283.57,N/A,70.36,N/A
24-07-08 Day1 -- H1.plate2,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,Experiment,,putidaHIST,N/A,BL2-H,N/A,13,32,0.406,0.063,0.130,10309,N/A,9084,N/A,6859,N/A,2544.58,N/A,24.68,N/A,1682.59,N/A,18.52,N/A
24-07-08 Day1 -- H1.plate2,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,Experiment,,cells,N/A,BL2-H,N/A,10000,32,312.500,48.584,48.584,127,N/A,104,N/A,247,N/A,392.31,N/A,309.41,N/A,90.43,N/A,87.12,N/A
24-07-08 Day1 -- H1.plate2,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,Experiment,,putidaQUADRANT,N/A,YL2-A,BL2-A,13,32,0.406,0.063,0.130,44,10691,34,10271,343,11945,121.59,2774.10,275.55,25.95,117.06,2345.34,340.07,22.83
24-07-08 Day1 -- H1.plate2,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,Experiment,,cells,N/A,YL2-A,BL2-A,10000,32,312.500,48.584,48.584,68,115,35,93,18,269,183.33,413.31,268.88,358.42,140.52,110.31,397.79,119.08
24-07-08 Day1 -- H1.plate2,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,Experiment,,cells,N/A,Time,FSC-A,10000,32,312.500,48.584,48.584,36751,15039,33491,13559,33494,15414,22003.41,8887.00,59.87,59.09,28231.67,4264.70,84.30,31.45
24-07-08 Day1 -- H1.plate2,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,Experiment,,R1,N/A,YL2-A,BL1-A,0,32,0.000,0.000,0.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
24-07-08 Day1 -- H1.plate2,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,Experiment,,cells,N/A,YL2-A,BL1-A,10000,32,312.500,48.584,48.584,68,247,35,218,18,285,183.33,354.00,268.88,143.30,140.52,336.65,397.79,154.56
24-07-08 Day1 -- H1.plate2,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,Experiment,,R2,N/A,BL1-A,BL2-A,13,32,0.406,0.063,0.130,278,10691,366,10271,886,11945,568.67,2774.10,204.47,25.95,771.51,2345.34,211.02,22.83
24-07-08 Day1 -- H1.plate2,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,Experiment,,cells,N/A,BL1-A,BL2-A,10000,32,312.500,48.584,48.584,247,115,218,93,285,269,354.00,413.31,143.30,358.42,336.65,110.31,154.56,119.08
24-07-08 Day1 -- H1.plate2,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,Experiment,,cells,N/A,VL2-A,BL2-A,10000,32,312.500,48.584,48.584,41278,115,39699,93,46603,269,25447.86,413.31,61.65,358.42,15544.94,110.31,39.16,119.08
24-07-08 Day1 -- H1.plate2,Experiment,10^-2 dilution,A1.fcs,A1,Experiment,Experiment,,cells,N/A,VL2-A,BL1-A,10000,32,312.500,48.584,48.584,41278,247,39699,218,46603,285,25447.86,354.00,61.65,143.30,15544.94,336.65,39.16,154.56
24-07-08 Day1 -- H1.plate2,Experiment,10^-2 dilution,B1.fcs,B1,Experiment,Experiment,N/A,All Events,N/A,N/A,N/A,10025,11,911.364,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
24-07-08 Day1 -- H1.plate2,Experiment,10^-2 dilution,B1.fcs,B1,Experiment,Experiment,,cells,N/A,FSC-A,SSC-A,10000,11,909.091,99.751,99.751,14074,5221,12856,2694,13577,666,12021.33,11363.67,85.42,217.64,3519.69,2759.12,27.38,102.44
24-07-08 Day1 -- H1.plate2,Experiment,10^-2 dilution,B1.fcs,B1,Experiment,Experiment,,veroniiHIST,N/A,YL2-H,N/A,0,11,0.000,0.000,0.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
24-07-08 Day1 -- H1.plate2,Experiment,10^-2 dilution,B1.fcs,B1,Experiment,Experiment,,cells,N/A,YL2-H,N/A,10000,11,909.091,99.751,99.751,154,N/A,137,N/A,335,N/A,108.61,N/A,70.51,N/A,98.97,N/A,71.99,N/A
24-07-08 Day1 -- H1.plate2,Experiment,10^-2 dilution,B1.fcs,B1,Experiment,Experiment,,protegHIST,N/A,VL2-H,N/A,53,11,4.818,0.529,0.530,14409,N/A,12048,N/A,11391,N/A,5387.21,N/A,37.39,N/A,1782.08,N/A,14.79,N/A
24-07-08 Day1 -- H1.plate2,Experiment,10^-2 dilution,B1.fcs,B1,Experiment,Experiment,,cells,N/A,VL2-H,N/A,10000,11,909.091,99.751,99.751,2484,N/A,2562,N/A,4261,N/A,2945.48,N/A,118.56,N/A,2615.76,N/A,102.09,N/A
