

Software Version	3.14.03



Experiment File Path:	C:\Users\Public\Documents\Experiments\Hermina\serial_passage\8July24\day4--8July24.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\simple_growth_curve.prt



Plate Number	Plate 1
Date	11/07/2024
Time	10:46:38
Reader Type:	Synergy H1
Reader Serial Number:	2305190C
Reading Type	Reader

Procedure Details

Plate Type	96 WELL PLATE (Use plate lid)
Well Selection	Runtime
Eject plate on completion	
Set Temperature	Setpoint 30°C
	Preheat before moving to next step
Start Kinetic	Runtime 22:00:00 (HH:MM:SS), Interval 0:10:00, 133 Reads
    Shake	Double Orbital: Continuous
	Frequency: 205 cpm (5 mm)
    Read	OD 600
	Absorbance Endpoint
	Full Plate
	Wavelengths:  600
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8
End Kinetic	

OD 600:600

0:09:10	30.2	0.3058	0.2933	0.3004	0.2909	0.2959	0.2965	0.3121	0.2928	0.3055	0.3089	0.2890	0.2869	0.2824	0.2729	0.3081	0.3028	0.2864	0.3038	0.2843	0.2911	0.3010	0.2960	0.2789	0.3005	0.3144	0.2946	0.2915	0.3031	0.2989	0.2923	0.2968	0.2969	0.2845	0.2965	0.2959	0.2939	0.3083	0.2915	0.3008	0.3007	0.2899	0.2824	0.2854	0.2952	0.2766	0.3041	0.2925	0.3152	0.3228	0.3003	0.3058	0.3051	0.2933	0.2884	0.3148	0.3002	0.3048	0.2947	0.2921	0.3150	0.3309	0.3181	0.3168	0.3078	0.3268	0.3083	0.3059	0.3177	0.3139	0.3278	0.3134	0.3117	0.3546	0.3201	0.3376	0.3333	0.3074	0.3252	0.3073	0.3245	0.3142	0.3180	0.3145	0.3261	0.3390	0.3525	0.3629	0.3583	0.3498	0.3415	0.3448	0.3304	0.3228	0.3332	0.3528	0.3359
0:19:10	30.2	0.3054	0.2932	0.2999	0.2909	0.2956	0.3034	0.3116	0.2925	0.3061	0.3082	0.2892	0.2869	0.2822	0.2719	0.3075	0.3028	0.2856	0.3041	0.2840	0.2912	0.3007	0.2954	0.2788	0.3004	0.3137	0.2942	0.2915	0.3026	0.2987	0.2922	0.2966	0.2967	0.2845	0.2963	0.2961	0.2935	0.3088	0.2917	0.3006	0.3001	0.2898	0.2822	0.2856	0.2953	0.2767	0.3041	0.2924	0.3161	0.3240	0.2998	0.3054	0.3046	0.2930	0.2886	0.3144	0.2999	0.3044	0.2947	0.2923	0.3145	0.3298	0.3177	0.3163	0.3045	0.3261	0.3081	0.3057	0.3174	0.3134	0.3280	0.3130	0.3115	0.3547	0.3199	0.3371	0.3316	0.3066	0.3249	0.3073	0.3239	0.3142	0.3180	0.3142	0.3261	0.3394	0.3521	0.3624	0.3587	0.3501	0.3413	0.3445	0.3310	0.3226	0.3329	0.3529	0.3359
0:29:10	30.2	0.3053	0.2930	0.2997	0.2909	0.2955	0.3100	0.3113	0.2923	0.3071	0.3078	0.2892	0.2868	0.2821	0.2713	0.3072	0.3027	0.2853	0.3042	0.2838	0.2910	0.3007	0.2950	0.2787	0.3003	0.3135	0.2936	0.2911	0.3023	0.2986	0.2922	0.2964	0.2965	0.2844	0.2963	0.2961	0.2934	0.3091	0.2915	0.3004	0.2997	0.2896	0.2821	0.2857	0.2954	0.2765	0.3038	0.2922	0.3167	0.3247	0.2993	0.3052	0.3042	0.2927	0.2885	0.3143	0.2995	0.3042	0.2946	0.2917	0.3141	0.3292	0.3174	0.3153	0.3039	0.3259	0.3077	0.3055	0.3170	0.3129	0.3278	0.3128	0.3114	0.3546	0.3197	0.3366	0.3309	0.3065	0.3248	0.3071	0.3230	0.3146	0.3179	0.3141	0.3256	0.3399	0.3518	0.3621	0.3583	0.3502	0.3410	0.3443	0.3313	0.3223	0.3327	0.3530	0.3357
0:39:10	30.3	0.3050	0.2931	0.2994	0.2907	0.2954	0.3127	0.3108	0.2920	0.3078	0.3073	0.2893	0.2864	0.2819	0.2699	0.3067	0.3024	0.2849	0.3040	0.2836	0.2907	0.3004	0.2946	0.2785	0.2999	0.3131	0.2933	0.2908	0.3019	0.2983	0.2919	0.2962	0.2963	0.2843	0.2960	0.2958	0.2932	0.3090	0.2913	0.3000	0.2991	0.2895	0.2818	0.2854	0.2951	0.2762	0.3029	0.2920	0.3184	0.3250	0.2987	0.3049	0.3039	0.2923	0.2883	0.3138	0.2992	0.3040	0.2944	0.2918	0.3137	0.3282	0.3171	0.3143	0.3033	0.3255	0.3075	0.3052	0.3166	0.3125	0.3276	0.3124	0.3111	0.3543	0.3196	0.3363	0.3302	0.3060	0.3245	0.3069	0.3224	0.3145	0.3178	0.3138	0.3254	0.3403	0.3514	0.3620	0.3582	0.3500	0.3407	0.3432	0.3314	0.3221	0.3324	0.3530	0.3356
0:49:10	30.3	0.3049	0.2942	0.2993	0.2907	0.2952	0.3262	0.3103	0.2912	0.3099	0.3071	0.2895	0.2862	0.2819	0.2694	0.3065	0.3023	0.2850	0.3039	0.2835	0.2904	0.3000	0.2948	0.2784	0.2998	0.3130	0.2930	0.2906	0.3016	0.2981	0.2919	0.2961	0.2963	0.2843	0.2959	0.2954	0.2929	0.3092	0.2912	0.2999	0.2989	0.2894	0.2817	0.2854	0.2951	0.2761	0.3024	0.2919	0.3204	0.3254	0.2984	0.3046	0.3037	0.2922	0.2882	0.3136	0.2990	0.3038	0.2942	0.2919	0.3134	0.3275	0.3170	0.3140	0.3029	0.3250	0.3074	0.3052	0.3163	0.3122	0.3276	0.3123	0.3111	0.3542	0.3195	0.3361	0.3299	0.3058	0.3244	0.3067	0.3220	0.3143	0.3177	0.3137	0.3253	0.3404	0.3513	0.3618	0.3579	0.3500	0.3405	0.3429	0.3313	0.3219	0.3322	0.3529	0.3356
0:59:10	30.3	0.3047	0.2931	0.2991	0.2907	0.2953	0.3235	0.3096	0.2908	0.3114	0.3068	0.2891	0.2856	0.2818	0.2689	0.3064	0.3021	0.2845	0.3036	0.2834	0.2903	0.2999	0.2948	0.2781	0.2996	0.3128	0.2928	0.2904	0.3014	0.2979	0.2920	0.2960	0.2961	0.2841	0.2955	0.2956	0.2927	0.3093	0.2910	0.2997	0.2987	0.2891	0.2815	0.2853	0.2949	0.2760	0.3025	0.2918	0.3229	0.3257	0.2980	0.3044	0.3033	0.2919	0.2881	0.3131	0.2988	0.3037	0.2940	0.2917	0.3133	0.3270	0.3168	0.3136	0.3026	0.3249	0.3073	0.3049	0.3160	0.3119	0.3275	0.3121	0.3111	0.3540	0.3194	0.3359	0.3296	0.3056	0.3270	0.3065	0.3215	0.3141	0.3175	0.3134	0.3254	0.3406	0.3513	0.3618	0.3579	0.3499	0.3404	0.3427	0.3303	0.3216	0.3320	0.3528	0.3356
1:09:10	30.3	0.3046	0.2932	0.2991	0.2912	0.2954	0.3292	0.3093	0.2908	0.3136	0.3068	0.2892	0.2856	0.2819	0.2688	0.3063	0.3023	0.2847	0.3036	0.2834	0.2903	0.2997	0.2946	0.2781	0.2995	0.3126	0.2928	0.2903	0.3013	0.2979	0.2917	0.2960	0.2961	0.2842	0.2942	0.2953	0.2928	0.3093	0.2910	0.2996	0.2986	0.2890	0.2815	0.2852	0.2949	0.2760	0.3026	0.2917	0.3252	0.3257	0.2978	0.3044	0.3033	0.2919	0.2881	0.3131	0.2988	0.3037	0.2940	0.2915	0.3133	0.3268	0.3167	0.3133	0.3024	0.3247	0.3073	0.3049	0.3158	0.3118	0.3277	0.3121	0.3111	0.3540	0.3195	0.3358	0.3294	0.3056	0.3270	0.3064	0.3213	0.3141	0.3175	0.3134	0.3253	0.3408	0.3512	0.3617	0.3577	0.3499	0.3404	0.3426	0.3315	0.3218	0.3319	0.3530	0.3356
1:19:10	30.2	0.3046	0.2933	0.2990	0.2914	0.2952	0.2957	0.3091	0.2911	0.3162	0.3066	0.2894	0.2854	0.2820	0.2687	0.3062	0.3022	0.2843	0.3038	0.2834	0.2904	0.2999	0.2947	0.2781	0.2995	0.3123	0.2926	0.2902	0.3013	0.2978	0.2917	0.2959	0.2961	0.2840	0.2943	0.2949	0.2927	0.3094	0.2909	0.2996	0.2984	0.2889	0.2815	0.2852	0.2950	0.2759	0.3027	0.2917	0.3295	0.3258	0.2978	0.3043	0.3028	0.2918	0.2881	0.3131	0.2987	0.3036	0.2940	0.2916	0.3132	0.3262	0.3166	0.3129	0.3024	0.3246	0.3071	0.3049	0.3157	0.3118	0.3277	0.3119	0.3110	0.3539	0.3194	0.3356	0.3292	0.3054	0.3269	0.3063	0.3209	0.3140	0.3175	0.3135	0.3249	0.3410	0.3512	0.3616	0.3575	0.3499	0.3402	0.3425	0.3315	0.3217	0.3318	0.3529	0.3356
1:29:10	30.3	0.3047	0.2935	0.2990	0.2917	0.2952	0.3272	0.3089	0.2911	0.3202	0.3065	0.2893	0.2855	0.2821	0.2686	0.3061	0.3022	0.2843	0.3036	0.2833	0.2900	0.2997	0.2946	0.2781	0.2994	0.3123	0.2926	0.2901	0.3012	0.2977	0.2918	0.2959	0.2961	0.2843	0.2951	0.2950	0.2926	0.3096	0.2909	0.2996	0.2984	0.2889	0.2815	0.2850	0.2950	0.2759	0.3030	0.2918	0.3330	0.3260	0.2976	0.3042	0.3027	0.2917	0.2880	0.3128	0.2986	0.3035	0.2941	0.2910	0.3133	0.3260	0.3166	0.3130	0.3023	0.3246	0.3072	0.3049	0.3155	0.3117	0.3277	0.3119	0.3111	0.3541	0.3194	0.3356	0.3292	0.3054	0.3270	0.3062	0.3207	0.3138	0.3174	0.3135	0.3248	0.3411	0.3511	0.3616	0.3574	0.3498	0.3402	0.3422	0.3309	0.3218	0.3317	0.3529	0.3356
1:39:10	30.3	0.3044	0.2936	0.2988	0.2919	0.2953	0.3235	0.3086	0.2906	0.3249	0.3064	0.2895	0.2854	0.2821	0.2685	0.3061	0.3020	0.2842	0.3032	0.2833	0.2899	0.2995	0.2944	0.2781	0.2994	0.3122	0.2926	0.2900	0.3011	0.2977	0.2916	0.2960	0.2961	0.2840	0.2949	0.2949	0.2926	0.3095	0.2909	0.2994	0.2983	0.2888	0.2815	0.2850	0.2949	0.2758	0.3025	0.2919	0.3371	0.3261	0.2974	0.3042	0.3025	0.2918	0.2880	0.3128	0.2986	0.3035	0.2940	0.2918	0.3132	0.3256	0.3165	0.3127	0.3022	0.3245	0.3071	0.3048	0.3153	0.3116	0.3277	0.3119	0.3111	0.3538	0.3193	0.3355	0.3289	0.3053	0.3269	0.3062	0.3205	0.3139	0.3174	0.3134	0.3247	0.3408	0.3510	0.3616	0.3574	0.3498	0.3401	0.3419	0.3308	0.3218	0.3317	0.3529	0.3355
1:49:10	30.3	0.3045	0.2940	0.2990	0.2926	0.2954	0.3122	0.3088	0.2909	0.3293	0.3065	0.2894	0.2854	0.2825	0.2685	0.3060	0.3021	0.2845	0.3035	0.2833	0.2902	0.2998	0.2944	0.2782	0.2996	0.3122	0.2926	0.2901	0.3011	0.2977	0.2919	0.2960	0.2961	0.2844	0.2951	0.2952	0.2926	0.3097	0.2909	0.2995	0.2983	0.2887	0.2815	0.2851	0.2950	0.2758	0.3027	0.2916	0.3427	0.3263	0.2974	0.3042	0.3026	0.2917	0.2881	0.3127	0.2987	0.3036	0.2939	0.2915	0.3132	0.3257	0.3166	0.3126	0.3023	0.3244	0.3071	0.3048	0.3153	0.3116	0.3276	0.3119	0.3111	0.3540	0.3194	0.3356	0.3289	0.3054	0.3269	0.3061	0.3205	0.3139	0.3175	0.3134	0.3247	0.3412	0.3510	0.3616	0.3573	0.3499	0.3402	0.3417	0.3310	0.3218	0.3316	0.3530	0.3355
1:59:10	30.3	0.3044	0.2942	0.2988	0.2928	0.2963	0.3237	0.3093	0.2904	0.3366	0.3063	0.2893	0.2854	0.2824	0.2683	0.3060	0.3020	0.2844	0.3034	0.2831	0.2899	0.2997	0.2942	0.2781	0.2992	0.3119	0.2924	0.2899	0.3009	0.2975	0.2916	0.2958	0.2961	0.2841	0.2948	0.2949	0.2925	0.3097	0.2907	0.2992	0.2981	0.2886	0.2813	0.2849	0.2949	0.2757	0.3022	0.2918	0.3492	0.3263	0.2972	0.3040	0.3023	0.2916	0.2879	0.3125	0.2984	0.3034	0.2939	0.2912	0.3131	0.3255	0.3165	0.3123	0.3021	0.3243	0.3069	0.3048	0.3150	0.3114	0.3276	0.3117	0.3109	0.3538	0.3193	0.3354	0.3287	0.3051	0.3268	0.3061	0.3202	0.3137	0.3173	0.3132	0.3245	0.3410	0.3508	0.3615	0.3572	0.3498	0.3400	0.3413	0.3311	0.3219	0.3315	0.3530	0.3356
2:09:10	30.3	0.3044	0.2946	0.2988	0.2936	0.2962	0.3241	0.3093	0.2905	0.3426	0.3063	0.2894	0.2854	0.2828	0.2683	0.3061	0.3020	0.2847	0.3032	0.2832	0.2900	0.2995	0.2942	0.2782	0.2993	0.3119	0.2924	0.2899	0.3010	0.2976	0.2915	0.2959	0.2961	0.2844	0.2948	0.2953	0.2925	0.3098	0.2907	0.2993	0.2981	0.2887	0.2813	0.2850	0.2949	0.2758	0.3024	0.2920	0.3605	0.3265	0.2972	0.3041	0.3023	0.2916	0.2879	0.3125	0.2986	0.3035	0.2939	0.2912	0.3131	0.3255	0.3165	0.3125	0.3020	0.3243	0.3069	0.3048	0.3151	0.3116	0.3276	0.3117	0.3111	0.3539	0.3195	0.3354	0.3287	0.3053	0.3268	0.3061	0.3201	0.3138	0.3174	0.3132	0.3246	0.3410	0.3509	0.3615	0.3573	0.3500	0.3400	0.3411	0.3313	0.3219	0.3314	0.3530	0.3357
2:19:10	30.3	0.3043	0.2952	0.2988	0.2947	0.2963	0.3263	0.3088	0.2906	0.3461	0.3060	0.2894	0.2854	0.2830	0.2682	0.3058	0.3020	0.2841	0.3031	0.2831	0.2901	0.2994	0.2945	0.2781	0.2993	0.3117	0.2924	0.2898	0.3046	0.2975	0.2914	0.2958	0.2960	0.2840	0.2948	0.2949	0.2925	0.3098	0.2907	0.2992	0.2980	0.2886	0.2814	0.2849	0.2949	0.2757	0.3024	0.2916	0.3719	0.3265	0.2971	0.3040	0.3023	0.2917	0.2880	0.3124	0.2984	0.3034	0.2938	0.2911	0.3131	0.3251	0.3164	0.3124	0.3020	0.3243	0.3069	0.3047	0.3150	0.3114	0.3275	0.3117	0.3110	0.3537	0.3193	0.3353	0.3285	0.3051	0.3265	0.3060	0.3200	0.3137	0.3173	0.3132	0.3246	0.3411	0.3507	0.3616	0.3572	0.3499	0.3401	0.3409	0.3308	0.3219	0.3313	0.3529	0.3354
