sample_name,bacteria,supernatant_percent,avg_OD,se_OD,IC50,supernatant_origin
protegens_0,protegens,0,1.673925,0.014682778,210,protegens_mono
protegens_10,protegens,10,1.694425,0.010089712,210,protegens_mono
protegens_20,protegens,20,1.67145,0.005189332,210,protegens_mono
protegens_30,protegens,30,1.62385,0.006446252,210,protegens_mono
protegens_40,protegens,40,1.54985,0.006083516,210,protegens_mono
protegens_5,protegens,5,1.66635,0.015972085,210,protegens_mono
protegens_50,protegens,50,1.54735,0.01900603,210,protegens_mono
protegens_60,protegens,60,1.512475,0.011995859,210,protegens_mono
protegens_70,protegens,70,1.4562,0.011719713,210,protegens_mono
protegens_80,protegens,80,1.41745,0.015088765,210,protegens_mono
protegens_90,protegens,90,1.3472,0.005879342,210,protegens_mono
putida_0,putida,0,1.91125,0.005981987,75.6,protegens_putida_coculture
putida_10,putida,10,1.843175,0.061751172,75.6,protegens_putida_coculture
putida_20,putida,20,1.8234,0.01897024,75.6,protegens_putida_coculture
putida_30,putida,30,1.50215,0.071982365,75.6,protegens_putida_coculture
putida_40,putida,40,1.463875,0.026797337,75.6,protegens_putida_coculture
putida_5,putida,5,1.848225,0.037162602,75.6,protegens_putida_coculture
putida_50,putida,50,1.146475,0.097617471,75.6,protegens_putida_coculture
putida_60,putida,60,1.249475,0.044591168,75.6,protegens_putida_coculture
putida_70,putida,70,1.0619,0.029229694,75.6,protegens_putida_coculture
putida_80,putida,80,0.8535,0.040071332,75.6,protegens_putida_coculture
putida_90,putida,90,0.805075,0.036120709,75.6,protegens_putida_coculture
grimontii_0,grimontii,0,1.003275,0.025255474,53.2,protegens_grimontii_coculture
grimontii_10,grimontii,10,0.647075,0.012540825,53.2,protegens_grimontii_coculture
grimontii_20,grimontii,20,0.6794,0.105430933,53.2,protegens_grimontii_coculture
grimontii_30,grimontii,30,0.494,0.029772303,53.2,protegens_grimontii_coculture
grimontii_40,grimontii,40,0.621525,0.075003971,53.2,protegens_grimontii_coculture
grimontii_5,grimontii,5,0.70395,0.036620224,53.2,protegens_grimontii_coculture
grimontii_50,grimontii,50,0.4896,0.013254119,53.2,protegens_grimontii_coculture
grimontii_60,grimontii,60,0.448325,0.022492272,53.2,protegens_grimontii_coculture
grimontii_70,grimontii,70,0.406675,0.045450511,53.2,protegens_grimontii_coculture
grimontii_80,grimontii,80,0.499825,0.016392751,53.2,protegens_grimontii_coculture
grimontii_90,grimontii,90,0.4566,0.023523924,53.2,protegens_grimontii_coculture
veronii_0,veronii,0,1.002,0.023667453,53.5,protegens_veronii_coculture
veronii_10,veronii,10,0.98535,0.02341586,53.5,protegens_veronii_coculture
veronii_20,veronii,20,0.90085,0.04397955,53.5,protegens_veronii_coculture
veronii_30,veronii,30,0.728575,0.020249131,53.5,protegens_veronii_coculture
veronii_40,veronii,40,0.616075,0.024096624,53.5,protegens_veronii_coculture
veronii_5,veronii,5,0.958275,0.024775841,53.5,protegens_veronii_coculture
veronii_50,veronii,50,0.511925,0.015532137,53.5,protegens_veronii_coculture
veronii_60,veronii,60,0.38495,0.010888641,53.5,protegens_veronii_coculture
veronii_70,veronii,70,0.384075,0.005465098,53.5,protegens_veronii_coculture
veronii_80,veronii,80,0.37115,0.020308229,53.5,protegens_veronii_coculture
veronii_90,veronii,90,0.3796,0.0207998,53.5,protegens_veronii_coculture
